id,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13,a14,a15,label
66,b,34.17,1.54,u,g,cc,v,1.54,t,t,1,t,g,520,50000,+
67,a,36,1,u,g,c,v,2,t,t,11,f,g,0,456,+
68,b,25.5,0.375,u,g,m,v,0.25,t,t,3,f,g,260,15108,+
69,b,19.42,6.5,u,g,w,h,1.46,t,t,7,f,g,80,2954,+
70,b,35.17,25.125,u,g,x,h,1.625,t,t,1,t,g,515,500,+
71,b,32.33,7.5,u,g,e,bb,1.585,t,f,0,t,s,420,0,-
72,b,34.83,4,u,g,d,bb,12.5,t,f,0,t,g,?,0,-
73,a,38.58,5,u,g,cc,v,13.5,t,f,0,t,g,980,0,-
74,b,44.25,0.5,u,g,m,v,10.75,t,f,0,f,s,400,0,-
75,b,44.83,7,y,p,c,v,1.625,f,f,0,f,g,160,2,-
76,b,20.67,5.29,u,g,q,v,0.375,t,t,1,f,g,160,0,-
77,b,34.08,6.5,u,g,aa,v,0.125,t,f,0,t,g,443,0,-
78,a,19.17,0.585,y,p,aa,v,0.585,t,f,0,t,g,160,0,-
79,b,21.67,1.165,y,p,k,v,2.5,t,t,1,f,g,180,20,-
80,b,21.5,9.75,u,g,c,v,0.25,t,f,0,f,g,140,0,-
81,b,49.58,19,u,g,ff,ff,0,t,t,1,f,g,94,0,-
82,a,27.67,1.5,u,g,m,v,2,t,f,0,f,s,368,0,-
83,b,39.83,0.5,u,g,m,v,0.25,t,f,0,f,s,288,0,-
84,a,?,3.5,u,g,d,v,3,t,f,0,t,g,300,0,-
85,b,27.25,0.625,u,g,aa,v,0.455,t,f,0,t,g,200,0,-
86,b,37.17,4,u,g,c,bb,5,t,f,0,t,s,280,0,-
87,b,?,0.375,u,g,d,v,0.875,t,f,0,t,s,928,0,-
88,b,25.67,2.21,y,p,aa,v,4,t,f,0,f,g,188,0,-
89,b,34,4.5,u,g,aa,v,1,t,f,0,t,g,240,0,-
90,a,49,1.5,u,g,j,j,0,t,f,0,t,g,100,27,-
91,b,62.5,12.75,y,p,c,h,5,t,f,0,f,g,112,0,-
92,b,31.42,15.5,u,g,c,v,0.5,t,f,0,f,g,120,0,-
93,b,?,5,y,p,aa,v,8.5,t,f,0,f,g,0,0,-
94,b,52.33,1.375,y,p,c,h,9.46,t,f,0,t,g,200,100,-
95,b,28.75,1.5,y,p,c,v,1.5,t,f,0,t,g,0,225,-
96,a,28.58,3.54,u,g,i,bb,0.5,t,f,0,t,g,171,0,-
97,b,23,0.625,y,p,aa,v,0.125,t,f,0,f,g,180,1,-
98,b,?,0.5,u,g,c,bb,0.835,t,f,0,t,s,320,0,-
99,a,22.5,11,y,p,q,v,3,t,f,0,t,g,268,0,-
100,a,28.5,1,u,g,q,v,1,t,t,2,t,g,167,500,-
101,b,37.5,1.75,y,p,c,bb,0.25,t,f,0,t,g,164,400,-
102,b,35.25,16.5,y,p,c,v,4,t,f,0,f,g,80,0,-
103,b,18.67,5,u,g,q,v,0.375,t,t,2,f,g,0,38,-
104,b,25,12,u,g,k,v,2.25,t,t,2,t,g,120,5,-
105,b,27.83,4,y,p,i,h,5.75,t,t,2,t,g,75,0,-
106,b,54.83,15.5,u,g,e,z,0,t,t,20,f,g,152,130,-
107,b,28.75,1.165,u,g,k,v,0.5,t,f,0,f,s,280,0,-
108,a,25,11,y,p,aa,v,4.5,t,f,0,f,g,120,0,-
109,b,40.92,2.25,y,p,x,h,10,t,f,0,t,g,176,0,-
110,a,19.75,0.75,u,g,c,v,0.795,t,t,5,t,g,140,5,-
111,b,29.17,3.5,u,g,w,v,3.5,t,t,3,t,g,329,0,-
112,a,24.5,1.04,y,p,ff,ff,0.5,t,t,3,f,g,180,147,-
113,b,24.58,12.5,u,g,w,v,0.875,t,f,0,t,g,260,0,-
114,a,33.75,0.75,u,g,k,bb,1,t,t,3,t,g,212,0,-
115,b,20.67,1.25,y,p,c,h,1.375,t,t,3,t,g,140,210,-
116,a,25.42,1.125,u,g,q,v,1.29,t,t,2,f,g,200,0,-
117,b,37.75,7,u,g,q,h,11.5,t,t,7,t,g,300,5,-
118,b,52.5,6.5,u,g,k,v,6.29,t,t,15,f,g,0,11202,+
119,b,57.83,7.04,u,g,m,v,14,t,t,6,t,g,360,1332,+
120,a,20.75,10.335,u,g,cc,h,0.335,t,t,1,t,g,80,50,+
121,b,39.92,6.21,u,g,q,v,0.04,t,t,1,f,g,200,300,+
122,b,25.67,12.5,u,g,cc,v,1.21,t,t,67,t,g,140,258,+
123,a,24.75,12.5,u,g,aa,v,1.5,t,t,12,t,g,120,567,+
124,a,44.17,6.665,u,g,q,v,7.375,t,t,3,t,g,0,0,+
125,a,23.5,9,u,g,q,v,8.5,t,t,5,t,g,120,0,+
126,b,34.92,5,u,g,x,h,7.5,t,t,6,t,g,0,1000,+
127,b,47.67,2.5,u,g,m,bb,2.5,t,t,12,t,g,410,2510,+
128,b,22.75,11,u,g,q,v,2.5,t,t,7,t,g,100,809,+
129,b,34.42,4.25,u,g,i,bb,3.25,t,t,2,f,g,274,610,+
130,a,28.42,3.5,u,g,w,v,0.835,t,f,0,f,s,280,0,+
131,b,67.75,5.5,u,g,e,z,13,t,t,1,t,g,0,0,+
132,b,20.42,1.835,u,g,c,v,2.25,t,t,1,f,g,100,150,+
133,a,47.42,8,u,g,e,bb,6.5,t,t,6,f,g,375,51100,+
134,b,36.25,5,u,g,c,bb,2.5,t,t,6,f,g,0,367,+
135,b,32.67,5.5,u,g,q,h,5.5,t,t,12,t,g,408,1000,+
136,b,48.58,6.5,u,g,q,h,6,t,f,0,t,g,350,0,+
137,b,39.92,0.54,y,p,aa,v,0.5,t,t,3,f,g,200,1000,+
138,b,33.58,2.75,u,g,m,v,4.25,t,t,6,f,g,204,0,+
139,a,18.83,9.5,u,g,w,v,1.625,t,t,6,t,g,40,600,+
140,a,26.92,13.5,u,g,q,h,5,t,t,2,f,g,0,5000,+
141,a,31.25,3.75,u,g,cc,h,0.625,t,t,9,t,g,181,0,+
142,a,56.5,16,u,g,j,ff,0,t,t,15,f,g,0,247,+
143,b,43,0.29,y,p,cc,h,1.75,t,t,8,f,g,100,375,+
144,b,22.33,11,u,g,w,v,2,t,t,1,f,g,80,278,+
145,b,27.25,1.665,u,g,cc,h,5.085,t,t,9,f,g,399,827,+
146,b,32.83,2.5,u,g,cc,h,2.75,t,t,6,f,g,160,2072,+
147,b,23.25,1.5,u,g,q,v,2.375,t,t,3,t,g,0,582,+
148,a,40.33,7.54,y,p,q,h,8,t,t,14,f,g,0,2300,+
149,a,30.5,6.5,u,g,c,bb,4,t,t,7,t,g,0,3065,+
150,a,52.83,15,u,g,c,v,5.5,t,t,14,f,g,0,2200,+
151,a,46.67,0.46,u,g,cc,h,0.415,t,t,11,t,g,440,6,+
152,a,58.33,10,u,g,q,v,4,t,t,14,f,g,0,1602,+
153,b,37.33,6.5,u,g,m,h,4.25,t,t,12,t,g,93,0,+
154,b,23.08,2.5,u,g,c,v,1.085,t,t,11,t,g,60,2184,+
155,b,32.75,1.5,u,g,cc,h,5.5,t,t,3,t,g,0,0,+
156,a,21.67,11.5,y,p,j,j,0,t,t,11,t,g,0,0,+
157,a,28.5,3.04,y,p,x,h,2.54,t,t,1,f,g,70,0,+
158,a,68.67,15,u,g,e,z,0,t,t,14,f,g,0,3376,+
159,b,28,2,u,g,k,h,4.165,t,t,2,t,g,181,0,+
160,b,34.08,0.08,y,p,m,bb,0.04,t,t,1,t,g,280,2000,+
161,b,27.67,2,u,g,x,h,1,t,t,4,f,g,140,7544,+
162,b,44,2,u,g,m,v,1.75,t,t,2,t,g,0,15,+
163,b,25.08,1.71,u,g,x,v,1.665,t,t,1,t,g,395,20,+
164,b,32,1.75,y,p,e,h,0.04,t,f,0,t,g,393,0,+
165,a,60.58,16.5,u,g,q,v,11,t,f,0,t,g,21,10561,+
166,a,40.83,10,u,g,q,h,1.75,t,f,0,f,g,29,837,+
167,b,19.33,9.5,u,g,q,v,1,t,f,0,t,g,60,400,+
168,a,32.33,0.54,u,g,cc,v,0.04,t,f,0,f,g,440,11177,+
169,b,36.67,3.25,u,g,q,h,9,t,f,0,t,g,102,639,+
170,b,37.5,1.125,y,p,d,v,1.5,f,f,0,t,g,431,0,+
171,a,25.08,2.54,y,p,aa,v,0.25,t,f,0,t,g,370,0,+
172,b,41.33,0,u,g,c,bb,15,t,f,0,f,g,0,0,+
173,b,56,12.5,u,g,k,h,8,t,f,0,t,g,24,2028,+
174,a,49.83,13.585,u,g,k,h,8.5,t,f,0,t,g,0,0,+
175,b,22.67,10.5,u,g,q,h,1.335,t,f,0,f,g,100,0,+
176,b,27,1.5,y,p,w,v,0.375,t,f,0,t,g,260,1065,+
177,b,25,12.5,u,g,aa,v,3,t,f,0,t,s,20,0,+
178,a,26.08,8.665,u,g,aa,v,1.415,t,f,0,f,g,160,150,+
179,a,18.42,9.25,u,g,q,v,1.21,t,t,4,f,g,60,540,+
180,b,20.17,8.17,u,g,aa,v,1.96,t,t,14,f,g,60,158,+
181,b,47.67,0.29,u,g,c,bb,15,t,t,20,f,g,0,15000,+
182,a,21.25,2.335,u,g,i,bb,0.5,t,t,4,f,s,80,0,+
183,a,20.67,3,u,g,q,v,0.165,t,t,3,f,g,100,6,+
184,a,57.08,19.5,u,g,c,v,5.5,t,t,7,f,g,0,3000,+
185,a,22.42,5.665,u,g,q,v,2.585,t,t,7,f,g,129,3257,+
186,b,48.75,8.5,u,g,c,h,12.5,t,t,9,f,g,181,1655,+
187,b,40,6.5,u,g,aa,bb,3.5,t,t,1,f,g,0,500,+
188,b,40.58,5,u,g,c,v,5,t,t,7,f,g,0,3065,+
189,a,28.67,1.04,u,g,c,v,2.5,t,t,5,t,g,300,1430,+
190,a,33.08,4.625,u,g,q,h,1.625,t,t,2,f,g,0,0,+
191,b,21.33,10.5,u,g,c,v,3,t,f,0,t,g,0,0,+
192,b,42,0.205,u,g,i,h,5.125,t,f,0,f,g,400,0,+
193,b,41.75,0.96,u,g,x,v,2.5,t,f,0,f,g,510,600,+
194,b,22.67,1.585,y,p,w,v,3.085,t,t,6,f,g,80,0,+
195,b,34.5,4.04,y,p,i,bb,8.5,t,t,7,t,g,195,0,+
196,b,28.25,5.04,y,p,c,bb,1.5,t,t,8,t,g,144,7,+
197,b,33.17,3.165,y,p,x,v,3.165,t,t,3,t,g,380,0,+
198,b,48.17,7.625,u,g,w,h,15.5,t,t,12,f,g,0,790,+
199,b,27.58,2.04,y,p,aa,v,2,t,t,3,t,g,370,560,+
200,b,22.58,10.04,u,g,x,v,0.04,t,t,9,f,g,60,396,+
201,a,24.08,0.5,u,g,q,h,1.25,t,t,1,f,g,0,678,+
202,a,41.33,1,u,g,i,bb,2.25,t,f,0,t,g,0,300,+
203,b,24.83,2.75,u,g,c,v,2.25,t,t,6,f,g,?,600,+
204,a,20.75,10.25,u,g,q,v,0.71,t,t,2,t,g,49,0,+
205,b,36.33,2.125,y,p,w,v,0.085,t,t,1,f,g,50,1187,+
206,a,35.42,12,u,g,q,h,14,t,t,8,f,g,0,6590,+
207,a,71.58,0,?,?,?,?,0,f,f,0,f,p,?,0,+
208,b,28.67,9.335,u,g,q,h,5.665,t,t,6,f,g,381,168,+
209,b,35.17,2.5,u,g,k,v,4.5,t,t,7,f,g,150,1270,+
210,b,39.5,4.25,u,g,c,bb,6.5,t,t,16,f,g,117,1210,+
211,b,39.33,5.875,u,g,cc,h,10,t,t,14,t,g,399,0,+
212,b,24.33,6.625,y,p,d,v,5.5,t,f,0,t,s,100,0,+
213,b,60.08,14.5,u,g,ff,ff,18,t,t,15,t,g,0,1000,+
214,b,23.08,11.5,u,g,i,v,3.5,t,t,9,f,g,56,742,+
215,b,26.67,2.71,y,p,cc,v,5.25,t,t,1,f,g,211,0,+
216,b,48.17,3.5,u,g,aa,v,3.5,t,f,0,f,s,230,0,+
217,b,41.17,4.04,u,g,cc,h,7,t,t,8,f,g,320,0,+
218,b,55.92,11.5,u,g,ff,ff,5,t,t,5,f,g,0,8851,+
219,b,53.92,9.625,u,g,e,v,8.665,t,t,5,f,g,0,0,+
220,a,18.92,9.25,y,p,c,v,1,t,t,4,t,g,80,500,+
221,a,50.08,12.54,u,g,aa,v,2.29,t,t,3,t,g,156,0,+
222,b,65.42,11,u,g,e,z,20,t,t,7,t,g,22,0,+
223,a,17.58,9,u,g,aa,v,1.375,t,f,0,t,g,0,0,+
224,a,18.83,9.54,u,g,aa,v,0.085,t,f,0,f,g,100,0,+
225,a,37.75,5.5,u,g,q,v,0.125,t,f,0,t,g,228,0,+
226,b,23.25,4,u,g,c,bb,0.25,t,f,0,t,g,160,0,+
227,b,18.08,5.5,u,g,k,v,0.5,t,f,0,f,g,80,0,+
228,a,22.5,8.46,y,p,x,v,2.46,f,f,0,f,g,164,0,+
229,b,19.67,0.375,u,g,q,v,2,t,t,2,t,g,80,0,+
230,b,22.08,11,u,g,cc,v,0.665,t,f,0,f,g,100,0,+
231,b,25.17,3.5,u,g,cc,v,0.625,t,t,7,f,g,0,7059,+
232,a,47.42,3,u,g,x,v,13.875,t,t,2,t,g,519,1704,+
233,b,33.5,1.75,u,g,x,h,4.5,t,t,4,t,g,253,857,+
234,b,27.67,13.75,u,g,w,v,5.75,t,f,0,t,g,487,500,+
235,a,58.42,21,u,g,i,bb,10,t,t,13,f,g,0,6700,+
236,a,20.67,1.835,u,g,q,v,2.085,t,t,5,f,g,220,2503,+
237,b,26.17,0.25,u,g,i,bb,0,t,f,0,t,g,0,0,+
238,b,21.33,7.5,u,g,aa,v,1.415,t,t,1,f,g,80,9800,+
239,b,42.83,4.625,u,g,q,v,4.58,t,f,0,f,s,0,0,+
240,b,38.17,10.125,u,g,x,v,2.5,t,t,6,f,g,520,196,+
241,b,20.5,10,y,p,c,v,2.5,t,f,0,f,s,40,0,+
242,b,48.25,25.085,u,g,w,v,1.75,t,t,3,f,g,120,14,+
243,b,28.33,5,u,g,w,v,11,t,f,0,t,g,70,0,+
244,a,18.75,7.5,u,g,q,v,2.71,t,t,5,f,g,?,26726,+
245,b,18.5,2,u,g,i,v,1.5,t,t,2,f,g,120,300,+
246,b,33.17,3.04,y,p,c,h,2.04,t,t,1,t,g,180,18027,+
247,b,45,8.5,u,g,cc,h,14,t,t,1,t,g,88,2000,+
248,a,19.67,0.21,u,g,q,h,0.29,t,t,11,f,g,80,99,+
249,?,24.5,12.75,u,g,c,bb,4.75,t,t,2,f,g,73,444,+
250,b,21.83,11,u,g,x,v,0.29,t,t,6,f,g,121,0,+
251,b,40.25,21.5,u,g,e,z,20,t,t,11,f,g,0,1200,+
252,b,41.42,5,u,g,q,h,5,t,t,6,t,g,470,0,+
253,a,17.83,11,u,g,x,h,1,t,t,11,f,g,0,3000,+
254,b,23.17,11.125,u,g,x,h,0.46,t,t,1,f,g,100,0,+
255,b,?,0.625,u,g,k,v,0.25,f,f,0,f,g,380,2010,-
256,b,18.17,10.25,u,g,c,h,1.085,f,f,0,f,g,320,13,-
257,b,20,11.045,u,g,c,v,2,f,f,0,t,g,136,0,-
258,b,20,0,u,g,d,v,0.5,f,f,0,f,g,144,0,-
259,a,20.75,9.54,u,g,i,v,0.04,f,f,0,f,g,200,1000,-
260,a,24.5,1.75,y,p,c,v,0.165,f,f,0,f,g,132,0,-
261,b,32.75,2.335,u,g,d,h,5.75,f,f,0,t,g,292,0,-
262,a,52.17,0,y,p,ff,ff,0,f,f,0,f,g,0,0,-
263,a,48.17,1.335,u,g,i,o,0.335,f,f,0,f,g,0,120,-
264,a,20.42,10.5,y,p,x,h,0,f,f,0,t,g,154,32,-
265,b,50.75,0.585,u,g,ff,ff,0,f,f,0,f,g,145,0,-
266,b,17.08,0.085,y,p,c,v,0.04,f,f,0,f,g,140,722,-
267,b,18.33,1.21,y,p,e,dd,0,f,f,0,f,g,100,0,-
268,a,32,6,u,g,d,v,1.25,f,f,0,f,g,272,0,-
269,b,59.67,1.54,u,g,q,v,0.125,t,f,0,t,g,260,0,+
270,b,18,0.165,u,g,q,n,0.21,f,f,0,f,g,200,40,+
271,b,37.58,0,?,?,?,?,0,f,f,0,f,p,?,0,+
272,b,32.33,2.5,u,g,c,v,1.25,f,f,0,t,g,280,0,-
273,b,18.08,6.75,y,p,m,v,0.04,f,f,0,f,g,140,0,-
274,b,38.25,10.125,y,p,k,v,0.125,f,f,0,f,g,160,0,-
275,b,30.67,2.5,u,g,cc,h,2.25,f,f,0,t,s,340,0,-
276,b,18.58,5.71,u,g,d,v,0.54,f,f,0,f,g,120,0,-
277,a,19.17,5.415,u,g,i,h,0.29,f,f,0,f,g,80,484,-
278,a,18.17,10,y,p,q,h,0.165,f,f,0,f,g,340,0,-
279,b,24.58,13.5,y,p,ff,ff,0,f,f,0,f,g,?,0,-
280,b,16.25,0.835,u,g,m,v,0.085,t,f,0,f,s,200,0,-
281,b,21.17,0.875,y,p,c,h,0.25,f,f,0,f,g,280,204,-
282,b,23.92,0.585,y,p,cc,h,0.125,f,f,0,f,g,240,1,-
283,b,17.67,4.46,u,g,c,v,0.25,f,f,0,f,s,80,0,-
284,a,16.5,1.25,u,g,q,v,0.25,f,t,1,f,g,108,98,-
285,b,23.25,12.625,u,g,c,v,0.125,f,t,2,f,g,0,5552,-
286,b,17.58,10,u,g,w,h,0.165,f,t,1,f,g,120,1,-
287,a,?,1.5,u,g,ff,ff,0,f,t,2,t,g,200,105,-
288,b,29.5,0.58,u,g,w,v,0.29,f,t,1,f,g,340,2803,-
289,b,18.83,0.415,y,p,c,v,0.165,f,t,1,f,g,200,1,-
290,a,21.75,1.75,y,p,j,j,0,f,f,0,f,g,160,0,-
291,b,23,0.75,u,g,m,v,0.5,f,f,0,t,s,320,0,-
292,a,18.25,10,u,g,w,v,1,f,t,1,f,g,120,1,-
293,b,25.42,0.54,u,g,w,v,0.165,f,t,1,f,g,272,444,-
294,b,35.75,2.415,u,g,w,v,0.125,f,t,2,f,g,220,1,-
295,a,16.08,0.335,u,g,ff,ff,0,f,t,1,f,g,160,126,-
296,a,31.92,3.125,u,g,ff,ff,3.04,f,t,2,t,g,200,4,-
297,b,69.17,9,u,g,ff,ff,4,f,t,1,f,g,70,6,-
298,b,32.92,2.5,u,g,aa,v,1.75,f,t,2,t,g,720,0,-
299,b,16.33,2.75,u,g,aa,v,0.665,f,t,1,f,g,80,21,-
300,b,22.17,12.125,u,g,c,v,3.335,f,t,2,t,g,180,173,-
301,a,57.58,2,u,g,ff,ff,6.5,f,t,1,f,g,0,10,-
302,b,18.25,0.165,u,g,d,v,0.25,f,f,0,t,s,280,0,-
303,b,23.42,1,u,g,c,v,0.5,f,f,0,t,s,280,0,-
304,a,15.92,2.875,u,g,q,v,0.085,f,f,0,f,g,120,0,-
305,a,24.75,13.665,u,g,q,h,1.5,f,f,0,f,g,280,1,-
306,b,48.75,26.335,y,p,ff,ff,0,t,f,0,t,g,0,0,-
307,b,23.5,2.75,u,g,ff,ff,4.5,f,f,0,f,g,160,25,-
308,b,18.58,10.29,u,g,ff,ff,0.415,f,f,0,f,g,80,0,-
309,b,27.75,1.29,u,g,k,h,0.25,f,f,0,t,s,140,0,-
310,a,31.75,3,y,p,j,j,0,f,f,0,f,g,160,20,-
311,a,24.83,4.5,u,g,w,v,1,f,f,0,t,g,360,6,-
312,b,19,1.75,y,p,c,v,2.335,f,f,0,t,g,112,6,-
313,a,16.33,0.21,u,g,aa,v,0.125,f,f,0,f,g,200,1,-
314,a,18.58,10,u,g,d,v,0.415,f,f,0,f,g,80,42,-
315,b,16.25,0,y,p,aa,v,0.25,f,f,0,f,g,60,0,-
316,b,23,0.75,u,g,m,v,0.5,t,f,0,t,s,320,0,-
317,b,21.17,0.25,y,p,c,h,0.25,f,f,0,f,g,280,204,-
318,b,17.5,22,l,gg,ff,o,0,f,f,0,t,p,450,100000,+
319,b,19.17,0,y,p,m,bb,0,f,f,0,t,s,500,1,+
320,b,36.75,0.125,y,p,c,v,1.5,f,f,0,t,g,232,113,+
321,b,21.25,1.5,u,g,w,v,1.5,f,f,0,f,g,150,8,+
322,a,18.08,0.375,l,gg,cc,ff,10,f,f,0,t,s,300,0,+
323,a,33.67,0.375,u,g,cc,v,0.375,f,f,0,f,g,300,44,+
324,b,48.58,0.205,y,p,k,v,0.25,t,t,11,f,g,380,2732,+
325,b,33.67,1.25,u,g,w,v,1.165,f,f,0,f,g,120,0,-
326,a,29.5,1.085,y,p,x,v,1,f,f,0,f,g,280,13,-
327,b,30.17,1.085,y,p,c,v,0.04,f,f,0,f,g,170,179,-
328,?,40.83,3.5,u,g,i,bb,0.5,f,f,0,f,s,1160,0,-
329,b,34.83,2.5,y,p,w,v,3,f,f,0,f,s,200,0,-
330,b,?,4,y,p,i,v,0.085,f,f,0,t,g,411,0,-
331,b,20.42,0,?,?,?,?,0,f,f,0,f,p,?,0,-
332,a,33.25,2.5,y,p,c,v,2.5,f,f,0,t,g,0,2,-
333,b,34.08,2.5,u,g,c,v,1,f,f,0,f,g,460,16,-
334,a,25.25,12.5,u,g,d,v,1,f,f,0,t,g,180,1062,-
335,b,34.75,2.5,u,g,cc,bb,0.5,f,f,0,f,g,348,0,-
336,b,27.67,0.75,u,g,q,h,0.165,f,f,0,t,g,220,251,-
337,b,47.33,6.5,u,g,c,v,1,f,f,0,t,g,0,228,-
338,a,34.83,1.25,y,p,i,h,0.5,f,f,0,t,g,160,0,-
339,a,33.25,3,y,p,aa,v,2,f,f,0,f,g,180,0,-
340,b,28,3,u,g,w,v,0.75,f,f,0,t,g,300,67,-
341,a,39.08,4,u,g,c,v,3,f,f,0,f,g,480,0,-
342,b,42.75,4.085,u,g,aa,v,0.04,f,f,0,f,g,108,100,-
343,b,26.92,2.25,u,g,i,bb,0.5,f,f,0,t,g,640,4000,-
344,b,33.75,2.75,u,g,i,bb,0,f,f,0,f,g,180,0,-
345,b,38.92,1.75,u,g,k,v,0.5,f,f,0,t,g,300,2,-
346,b,62.75,7,u,g,e,z,0,f,f,0,f,g,0,12,-
347,?,32.25,1.5,u,g,c,v,0.25,f,f,0,t,g,372,122,-
348,b,26.75,4.5,y,p,c,bb,2.5,f,f,0,f,g,200,1210,-
349,b,63.33,0.54,u,g,c,v,0.585,t,t,3,t,g,180,0,-
350,b,27.83,1.5,u,g,w,v,2.25,f,t,1,t,g,100,3,-
351,a,26.17,2,u,g,j,j,0,f,f,0,t,g,276,1,-
352,b,22.17,0.585,y,p,ff,ff,0,f,f,0,f,g,100,0,-
353,b,22.5,11.5,y,p,m,v,1.5,f,f,0,t,g,0,4000,-
