data(p149):a2(A,2):-0.3271161170993295 
data(p89):a10(A,f):-0.8725174119989595 
data(p89):a12(A,t):0.12160585541904861 
data(p89):a13(A,g):-0.16570862662557115 
data(p373):a2(A,3):0.04815348992976054 
data(p373):a3(A,2):0.350502363868377 
data(p373):a8(A,1):-2.1031742220532537 
data(p373):a11(A,0):-0.40246110997097123 
data(p373):a14(A,2):-0.9874755415367115 
data(p373):a15(A,0):-0.6394217043312858 
data(p373):a1(A,a):1.236515697832976 
data(p373):a4(A,u):-0.47858265804769257 
data(p373):a5(A,g):-0.2685524482108314 
data(p373):a6(A,k):-0.5652329557665013 
data(p373):a7(A,h):0.9214944196155271 
data(p373):a9(A,f):-2.4421290597152545 
data(p373):a10(A,f):-0.4167424829804087 
data(p373):a12(A,t):-0.0035576295436951155 
data(p373):a13(A,s):0.04542890937995516 
data(p356):a2(A,0):-1.0453782791129327 
data(p356):a3(A,0):-0.267931664310387 
data(p356):a8(A,1):-1.9157017322058434 
data(p356):a11(A,0):-0.3760012916380547 
data(p356):a14(A,3):0.008566212432469491 
data(p356):a15(A,0):-1.0436599837974052 
data(p356):a1(A,a):1.3476044005574477 
data(p356):a4(A,u):-0.6836878503419618 
data(p356):a5(A,g):-0.2924422642128132 
data(p356):a6(A,aa):-0.07004836856744469 
data(p356):a7(A,v):-0.4387031423047959 
data(p356):a9(A,f):-3.0560303429323796 
data(p356):a10(A,t):-0.6305432499785156 
data(p356):a12(A,t):-0.4276948471124232 
data(p356):a13(A,g):-0.16982795922432073 
data(p386):a2(A,2):-1.2478815779379344 
data(p386):a3(A,2):-0.46714847293414163 
data(p386):a8(A,2):1.41073662262189 
data(p386):a11(A,0):-0.4148070451328594 
data(p386):a14(A,0):0.17581718443672845 
data(p386):a15(A,0):0.0962273993248651 
data(p386):a1(A,b):0.41377278346039936 
data(p386):a4(A,y):-0.7815975883909677 
data(p386):a5(A,p):-0.6740147809635584 
data(p386):a6(A,c):0.5911989180055449 
data(p386):a7(A,v):0.35852625249813397 
data(p386):a9(A,f):-2.8923914683692242 
data(p386):a10(A,f):-0.4131130469843737 
data(p386):a12(A,t):0.6105586330499917 
data(p386):a13(A,g):-0.18393818206373325 
data(p215):a2(A,1):1.2400423623628758 
data(p215):a3(A,1):-0.718667323124586 
data(p215):a8(A,3):1.800507790071421 
data(p215):a11(A,0):-0.5562085340824376 
data(p215):a14(A,2):-0.6610964751226627 
data(p215):a15(A,0):-0.8325088573440707 
data(p215):a1(A,b):0.4676086502429555 
data(p215):a4(A,y):-1.2969840691850238 
data(p215):a5(A,p):-0.6334536176306335 
data(p215):a6(A,cc):1.1770295846413463 
data(p215):a7(A,v):-0.2241693933211136 
data(p215):a9(A,t):1.220066556694697 
data(p215):a10(A,t):0.1342130198588277 
data(p215):a12(A,f):0.42200158480969807 
data(p215):a13(A,g):-0.12117420810202453 
data(p566):a2(A,0):-0.04822327747497749 
data(p566):a3(A,2):1.7767120379454955 
data(p566):a8(A,0):0.5146283656490411 
data(p566):a11(A,0):-0.33539593685923985 
data(p566):a14(A,1):-0.1550661554750258 
data(p566):a15(A,0):-0.5264317480308657 
data(p566):a1(A,a):1.6208860721215814 
data(p566):a4(A,u):-0.13383102277461276 
data(p566):a5(A,g):-0.15352815219610144 
data(p566):a6(A,aa):-0.12414156189538106 
data(p566):a7(A,v):0.6752818613627861 
data(p566):a9(A,t):1.6340319343843226 
data(p566):a10(A,f):-0.7207401320408765 
data(p566):a12(A,f):0.6478898013696389 
data(p566):a13(A,g):-0.1237565902683056 
data(p286):a2(A,0):0.7523543749729398 
data(p286):a3(A,3):-0.7101467623497978 
data(p286):a8(A,0):-1.5651061159007904 
data(p286):a11(A,0):-0.3555293120936551 
data(p286):a14(A,1):-0.33455800805556296 
data(p286):a15(A,0):0.053860857139648756 
data(p286):a1(A,b):0.3611690056995594 
data(p286):a4(A,u):-0.14000391646124138 
data(p286):a5(A,g):-0.11122030236655997 
data(p286):a6(A,w):1.9152650925829589 
data(p286):a7(A,h):1.0164208888386923 
data(p286):a9(A,f):-3.0245589428292607 
data(p286):a10(A,t):-0.5669438347703162 
data(p286):a12(A,f):0.2863517891278586 
data(p286):a13(A,g):-0.1489068688394302 
data(p122):a2(A,1):0.787455701293751 
data(p122):a3(A,3):-0.5591598200975757 
data(p122):a8(A,2):0.1287542203678263 
data(p122):a11(A,1):1.5270964814397574 
data(p122):a14(A,1):-0.7341990343657449 
data(p122):a15(A,1):-0.007113930071973584 
data(p122):a1(A,b):0.37858065382661155 
data(p122):a4(A,u):-0.2999388292709643 
data(p122):a5(A,g):-0.16841704008858174 
data(p122):a6(A,cc):1.1093388483540274 
data(p122):a7(A,v):0.3984170526510281 
data(p122):a9(A,t):1.5744604804256204 
data(p122):a10(A,t):-0.42859403165104026 
data(p122):a12(A,t):-0.0032298489556689073 
data(p122):a13(A,g):-0.08176771959810152 
data(p50):a2(A,1):1.457417471490601 
data(p50):a3(A,0):2.0698294103330244 
data(p50):a8(A,0):0.15522484720713078 
data(p50):a11(A,0):-0.3542137587978806 
data(p50):a14(A,1):-0.40996597378085786 
data(p50):a15(A,0):-0.13688242344452986 
data(p50):a1(A,b):0.777468147501178 
data(p50):a4(A,u):-0.2589768426301668 
data(p50):a5(A,g):-0.15090760004480475 
data(p50):a6(A,c):1.876054393081689 
data(p50):a7(A,v):0.11045351245748174 
data(p50):a9(A,f):-2.403080717825909 
data(p50):a10(A,f):-0.039520136583353745 
data(p50):a12(A,f):0.5003358393773848 
data(p50):a13(A,g):-0.0640715192742171 
data(p675):a2(A,2):-0.6850719887047377 
data(p675):a3(A,1):-0.9010312763493404 
data(p675):a8(A,1):-1.781104929782265 
data(p675):a11(A,0):-0.32812457248243987 
data(p675):a14(A,2):0.3498288041084702 
data(p675):a15(A,1):0.7800945922231155 
data(p675):a1(A,a):1.5060614694709191 
data(p675):a4(A,u):-0.2623083779422287 
data(p675):a5(A,g):-0.22458905588129768 
data(p675):a6(A,i):-0.5150998593133265 
data(p675):a7(A,h):1.015192512384694 
data(p675):a9(A,f):-2.4372120163535635 
data(p675):a10(A,f):-0.5433576585950289 
data(p675):a12(A,f):1.093164210231433 
data(p675):a13(A,g):-0.20132249552739181 
data(p334):a2(A,1):-0.08049374657896391 
data(p334):a3(A,3):0.33289026970646185 
data(p334):a8(A,1):-1.8591608802571447 
data(p334):a11(A,0):-0.45306192885095603 
data(p334):a14(A,2):-1.0841282981099785 
data(p334):a15(A,2):1.2451985885115329 
data(p334):a1(A,a):1.1414868121434598 
data(p334):a4(A,u):-0.6354026324510684 
data(p334):a5(A,g):-0.27579050381366027 
data(p334):a6(A,d):0.01757566880376124 
data(p334):a7(A,v):0.08028922544844129 
data(p334):a9(A,f):-3.1905061911515324 
data(p334):a10(A,f):-0.30219302362343226 
data(p334):a12(A,t):-0.11143399411304558 
data(p334):a13(A,g):-0.20690302609474756 
data(p579):a2(A,3):0.07575165048468181 
data(p579):a3(A,1):-0.100043439038896 
data(p579):a8(A,2):1.284141015271627 
data(p579):a11(A,1):1.5749014959192378 
data(p579):a14(A,2):0.029224275456812637 
data(p579):a15(A,2):1.870132186171649 
data(p579):a1(A,b):0.5367427052415848 
data(p579):a4(A,u):-0.022331350546794977 
data(p579):a5(A,g):-0.07682139891027427 
data(p579):a6(A,c):0.10107384454448959 
data(p579):a7(A,v):0.41452990626840963 
data(p579):a9(A,t):1.5154888277828504 
data(p579):a10(A,t):-0.048261821245195236 
data(p579):a12(A,f):0.6162879151571022 
data(p579):a13(A,g):-0.03907631027668466 
data(p449):a2(A,2):-1.0303854489883735 
data(p449):a3(A,1):-0.7949897003063342 
data(p449):a8(A,0):-1.5547774096407183 
data(p449):a11(A,0):-0.45555896135410884 
data(p449):a14(A,1):-1.2517040032554907 
data(p449):a15(A,1):-0.4267510851346281 
data(p449):a1(A,b):0.4770804337526792 
data(p449):a4(A,u):-0.19944937832712503 
data(p449):a5(A,g):-0.209586804750187 
data(p449):a6(A,ff):-0.23252410127221054 
data(p449):a7(A,ff):-0.2630441777396232 
data(p449):a9(A,f):-3.1996803943829812 
data(p449):a10(A,t):-0.3390110165356499 
data(p449):a12(A,f):0.1326214620111856 
data(p449):a13(A,g):-0.15095495426339275 
data(p182):a2(A,0):0.338005580477907 
data(p182):a3(A,1):-1.014099585122498 
data(p182):a8(A,1):-1.392479015466375 
data(p182):a11(A,1):1.201604156513487 
data(p182):a14(A,0):1.4736798454224287 
data(p182):a15(A,0):-0.008202607976022758 
data(p182):a1(A,a):1.2797840571329504 
data(p182):a4(A,u):-0.21779505003589109 
data(p182):a5(A,g):-0.17881485680335688 
data(p182):a6(A,i):-0.517304001869313 
data(p182):a7(A,bb):0.14605523561932995 
data(p182):a9(A,t):1.4613978101880312 
data(p182):a10(A,t):0.07592371563051102 
data(p182):a12(A,f):0.7289071831407271 
data(p182):a13(A,s):-0.05091680510359691 
data(p188):a2(A,3):-0.444529052894767 
data(p188):a3(A,2):-0.03756570745249482 
data(p188):a8(A,3):2.1132248503631548 
data(p188):a11(A,1):1.5298507328762303 
data(p188):a14(A,0):0.4797420993369872 
data(p188):a15(A,2):0.6332491823428409 
data(p188):a1(A,b):0.38360567529069 
data(p188):a4(A,u):0.004741849547902716 
data(p188):a5(A,g):-0.07411454048423768 
data(p188):a6(A,c):0.25982900359073713 
data(p188):a7(A,v):0.289893906069306 
data(p188):a9(A,t):1.9351433943075116 
data(p188):a10(A,t):0.0910756302514657 
data(p188):a12(A,f):0.33196877312008444 
data(p188):a13(A,g):-0.0744932018419044 
data(p627):a2(A,0):-0.043286280437129405 
data(p627):a3(A,3):-0.25445210852377326 
data(p627):a8(A,0):-0.5116508294651846 
data(p627):a11(A,0):-0.36354653514088964 
data(p627):a14(A,2):-1.4156993431840517 
data(p627):a15(A,0):0.04910807777514583 
data(p627):a1(A,b):0.3697347173894353 
data(p627):a4(A,y):-0.9412026657932875 
data(p627):a5(A,p):-0.5746032882569833 
data(p627):a6(A,i):-0.5524607430823808 
data(p627):a7(A,bb):0.20331118133098391 
data(p627):a9(A,f):-2.1142719852988807 
data(p627):a10(A,f):-0.1300424799315113 
data(p627):a12(A,t):0.5574335504665751 
data(p627):a13(A,g):-0.27113681271859325 
data(p639):a2(A,1):0.9821518820960825 
data(p639):a3(A,2):0.48117351000099773 
data(p639):a8(A,1):-2.263665376180788 
data(p639):a11(A,0):-0.4963884106364232 
data(p639):a14(A,1):-0.8466119507474232 
data(p639):a15(A,0):-0.4416899684366471 
data(p639):a1(A,b):0.607299966713288 
data(p639):a4(A,u):-0.4855236718651807 
data(p639):a5(A,g):-0.2051986259819587 
data(p639):a6(A,aa):-0.06676937876522683 
data(p639):a7(A,v):-0.08959080378073367 
data(p639):a9(A,f):-3.579378715186339 
data(p639):a10(A,f):-0.03669263944050357 
data(p639):a12(A,t):0.20539884687467252 
data(p639):a13(A,g):-0.193733207917884 
data(p117):a2(A,3):-0.5251503645894773 
data(p117):a3(A,2):-0.10297205305184308 
data(p117):a8(A,3):1.125897961786094 
data(p117):a11(A,1):1.1906908667224374 
data(p117):a14(A,3):-1.8659937810859402 
data(p117):a15(A,0):-1.0228693677017509 
data(p117):a1(A,b):0.4830540579356013 
data(p117):a4(A,u):-0.24992073912192375 
data(p117):a5(A,g):-0.1590019362637983 
data(p117):a6(A,q):-0.4057005623191986 
data(p117):a7(A,h):0.9592670818140718 
data(p117):a9(A,t):1.3890378788792945 
data(p117):a10(A,t):-0.46913182581683555 
data(p117):a12(A,t):-0.1314064162220653 
data(p117):a13(A,g):-0.19723289902290486 
data(p263):a2(A,3):-0.17604257710149196 
data(p263):a3(A,1):-1.41697251028438 
data(p263):a8(A,1):-1.6251991452220926 
data(p263):a11(A,0):-0.35314512453221636 
data(p263):a14(A,0):-0.8637059252979662 
data(p263):a15(A,1):-0.34853998398738095 
data(p263):a1(A,a):1.4748209212634078 
data(p263):a4(A,u):-0.19796238879323116 
data(p263):a5(A,g):-0.19841117403879158 
data(p263):a6(A,i):-0.4620435033360126 
data(p263):a7(A,o):0.0 
data(p263):a9(A,f):-2.7502444905624723 
data(p263):a10(A,f):-0.4872548446481795 
data(p263):a12(A,f):0.7213179737380024 
data(p263):a13(A,g):-0.15644501346527498 
data(p531):a2(A,1):0.626161683245186 
data(p531):a3(A,1):-1.2989558791924065 
data(p531):a8(A,3):0.2766967831811202 
data(p531):a11(A,0):-0.43085987535346243 
data(p531):a14(A,3):-0.9114636062684406 
data(p531):a15(A,0):-1.4588864220154898 
data(p531):a1(A,a):-0.11015358929881451 
data(p531):a4(A,u):-0.5404746031393551 
data(p531):a5(A,g):-0.24390367071360522 
data(p531):a6(A,c):0.5631891522866316 
data(p531):a7(A,h):1.2368705690410666 
data(p531):a9(A,t):0.9300257546921076 
data(p531):a10(A,f):-1.2828352896643807 
data(p531):a12(A,t):-0.28425297711405806 
data(p531):a13(A,g):-0.23431365338492458 
data(p96):a2(A,1):0.7646695108465983 
data(p96):a3(A,2):1.612791257570305 
data(p96):a8(A,1):-1.3171591963688676 
data(p96):a11(A,0):-0.4649436187959953 
data(p96):a14(A,2):-2.574425991877163 
data(p96):a15(A,0):-1.069974668490123 
data(p96):a1(A,a):0.9069308912389972 
data(p96):a4(A,u):-0.5887951198010418 
data(p96):a5(A,g):-0.3125559353801564 
data(p96):a6(A,i):-0.4872163095601387 
data(p96):a7(A,bb):0.008741484382859769 
data(p96):a9(A,t):1.2523725871087061 
data(p96):a10(A,f):-1.1196621538409561 
data(p96):a12(A,t):-0.1326855187037099 
data(p96):a13(A,g):-0.23427616350605715 
data(p355):a2(A,2):-0.9729261844652211 
data(p355):a3(A,1):-0.7122418305855828 
data(p355):a8(A,1):-2.714832100573593 
data(p355):a11(A,0):-0.49001708828654494 
data(p355):a14(A,2):-1.1426269812242758 
data(p355):a15(A,0):-1.1990113389459227 
data(p355):a1(A,b):0.7009943696040859 
data(p355):a4(A,u):-0.5554124720215824 
data(p355):a5(A,g):-0.23816334059190739 
data(p355):a6(A,i):-0.4274784355199932 
data(p355):a7(A,v):-0.011747322609519738 
data(p355):a9(A,f):-2.4785874145010633 
data(p355):a10(A,f):-0.35272002999146335 
data(p355):a12(A,t):-0.007779641786182957 
data(p355):a13(A,g):-0.16634512040811766 
data(p637):a2(A,3):-0.2587489802329254 
data(p637):a3(A,0):1.214802669251683 
data(p637):a8(A,1):-2.2925773868141097 
data(p637):a11(A,0):-0.41153046716095454 
data(p637):a14(A,1):-1.7393907665305608 
data(p637):a15(A,0):-0.4878265050076777 
data(p637):a1(A,b):0.44807339738240665 
data(p637):a4(A,y):-1.1195263488646583 
data(p637):a5(A,p):-0.5692676123766545 
data(p637):a6(A,m):-0.029945286147876487 
data(p637):a7(A,v):-0.03777491270013897 
data(p637):a9(A,f):-2.4069126656822295 
data(p637):a10(A,f):-0.3083461809780107 
data(p637):a12(A,t):0.18529400944230945 
data(p637):a13(A,g):-0.12617148334630482 
data(p480):a2(A,1):1.4389559834564962 
data(p480):a3(A,1):-1.3012054003279343 
data(p480):a8(A,0):-0.4866840051323681 
data(p480):a11(A,0):-0.37886142472514406 
data(p480):a14(A,0):0.0018211436656345747 
data(p480):a15(A,0):0.6640104826385277 
data(p480):a4(A,y):-1.3284794046830353 
data(p480):a5(A,p):-0.7157830154099886 
data(p480):a9(A,f):-2.55741013973463 
data(p480):a10(A,f):-0.4279824054927961 
data(p480):a12(A,f):-0.1785778725104713 
data(p480):a13(A,s):0.05036987273046367 
data(p440):a2(A,1):0.2173015491999138 
data(p440):a3(A,0):0.35195011334851567 
data(p440):a8(A,1):-2.685763437237981 
data(p440):a11(A,0):-0.5014543211490295 
data(p440):a14(A,2):-1.9594522637828589 
data(p440):a15(A,0):-1.0169778764442121 
data(p440):a1(A,b):0.6760940119812388 
data(p440):a4(A,u):-0.6481148827261966 
data(p440):a5(A,g):-0.2942165772037718 
data(p440):a6(A,k):-0.6337141537515629 
data(p440):a7(A,v):-0.484681781310569 
data(p440):a9(A,f):-3.0484897978425076 
data(p440):a10(A,t):-0.65997057601601 
data(p440):a12(A,t):-0.4299211888282165 
data(p440):a13(A,g):-0.12933457794453204 
data(p621):a2(A,0):0.06941738982657976 
data(p621):a3(A,1):-0.756394780526732 
data(p621):a8(A,0):-0.9221323223733866 
data(p621):a11(A,0):-0.34845351289557536 
data(p621):a14(A,1):-1.1181041374179892 
data(p621):a15(A,1):-0.3852522534415941 
data(p621):a1(A,b):0.7087833892230347 
data(p621):a4(A,u):-0.058453857805975167 
data(p621):a5(A,g):-0.0429207468883417 
data(p621):a6(A,i):-0.45344102728615165 
data(p621):a7(A,v):0.15389856586664716 
data(p621):a9(A,f):-2.9346138597989944 
data(p621):a10(A,f):0.03709670948008656 
data(p621):a12(A,f):0.37348642994036263 
data(p621):a13(A,g):-0.09534360011123272 
data(p63):a2(A,1):0.5479615266931187 
data(p63):a3(A,0):0.5698661854121702 
data(p63):a8(A,2):0.31612195756268685 
data(p63):a11(A,0):-0.29083105007945637 
data(p63):a14(A,0):0.6283043209519564 
data(p63):a15(A,2):0.7581303411540442 
data(p63):a1(A,a):0.9081463241213913 
data(p63):a4(A,y):-0.6468034816943553 
data(p63):a5(A,p):-0.5858196397723221 
data(p63):a6(A,q):-0.5925046280418356 
data(p63):a7(A,v):0.12183267166312299 
data(p63):a9(A,t):1.3854620253760677 
data(p63):a10(A,t):-0.35880815985256304 
data(p63):a12(A,t):0.009403661530638463 
data(p63):a13(A,g):-0.10183277127556511 
data(p636):a2(A,0):0.47920955903353113 
data(p636):a3(A,1):-0.7361090974991783 
data(p636):a8(A,1):-2.540809389780275 
data(p636):a11(A,0):-0.45471327147443913 
data(p636):a14(A,1):-1.1092928307604137 
data(p636):a15(A,2):0.46071932662031306 
data(p636):a1(A,b):0.6458685526860113 
data(p636):a4(A,u):-0.20790165415054843 
data(p636):a5(A,g):-0.06381001181951089 
data(p636):a6(A,c):0.6707835808368159 
data(p636):a7(A,n):0.0 
data(p636):a9(A,f):-3.208266587044329 
data(p636):a10(A,t):-0.5138874112490625 
data(p636):a12(A,t):-0.06805381658032694 
data(p636):a13(A,g):-0.15834506391052144 
data(p433):a2(A,0):-0.2920459571407011 
data(p433):a3(A,1):-0.2358314527188875 
data(p433):a8(A,0):0.6274367348354154 
data(p433):a11(A,0):-0.3577818527022412 
data(p433):a14(A,3):1.0175985719982987 
data(p433):a15(A,0):-0.6491153984609779 
data(p433):a1(A,b):0.8652517697393646 
data(p433):a4(A,u):-0.5339539768643217 
data(p433):a5(A,g):-0.19716079063494538 
data(p433):a6(A,k):-0.6526532970965807 
data(p433):a7(A,v):0.1302540721761279 
data(p433):a9(A,f):-2.647293426897117 
data(p433):a10(A,f):0.1328094685697075 
data(p433):a12(A,t):0.31567781571447434 
data(p433):a13(A,g):-0.1631119415722984 
data(p507):a2(A,0):-0.8195718956460427 
data(p507):a3(A,3):-0.02454646472702715 
data(p507):a8(A,1):-1.6264813870529553 
data(p507):a11(A,0):-0.37145850833181765 
data(p507):a14(A,1):-0.39796947053149484 
data(p507):a15(A,2):0.9663306097164274 
data(p507):a1(A,a):2.051277890678105 
data(p507):a4(A,u):-0.12289463074505404 
data(p507):a5(A,g):-0.11739761047804517 
data(p507):a6(A,aa):-0.025636590765921036 
data(p507):a7(A,v):0.10332309030431487 
data(p507):a9(A,t):1.8321896106912083 
data(p507):a10(A,t):-0.27268302061287786 
data(p507):a12(A,f):0.712767697820911 
data(p507):a13(A,g):-0.07956335048681369 
data(p136):a2(A,3):-0.6255196745541092 
data(p136):a3(A,2):0.18498130119621065 
data(p136):a8(A,3):0.5773408242755768 
data(p136):a11(A,0):-0.33642520343458454 
data(p136):a14(A,3):-1.248252733256128 
data(p136):a15(A,0):-1.1919672027950732 
data(p136):a1(A,b):0.654619248509449 
data(p136):a4(A,u):-0.18681056353034114 
data(p136):a5(A,g):-0.13142290009312257 
data(p136):a6(A,q):1.2525704367157136 
data(p136):a7(A,h):1.2360242081670054 
data(p136):a9(A,t):1.1648868683249531 
data(p136):a10(A,f):-0.09336753506868267 
data(p136):a12(A,t):0.0007558538723840052 
data(p136):a13(A,g):-0.20757253042921384 
data(p397):a2(A,2):-1.2144236431465236 
data(p397):a3(A,1):-0.9247177104492637 
data(p397):a8(A,0):-0.8376046696908669 
data(p397):a11(A,0):-0.36474416993116243 
data(p397):a14(A,1):-1.4646800561875684 
data(p397):a15(A,0):0.04320212185942349 
data(p397):a1(A,b):0.4170552160994399 
data(p397):a4(A,y):-1.634344752495449 
data(p397):a5(A,p):-0.8354436779265749 
data(p397):a6(A,x):1.4353241549746174 
data(p397):a7(A,h):0.8711567792691145 
data(p397):a9(A,f):-2.416316857733402 
data(p397):a10(A,f):-0.5332100149286223 
data(p397):a12(A,f):-0.18764524349690342 
data(p397):a13(A,g):-0.21931618316721463 
data(p418):a2(A,1):1.304234198245925 
data(p418):a3(A,1):-1.240644552699514 
data(p418):a8(A,1):-2.494734239947537 
data(p418):a11(A,0):-0.4867101831255576 
data(p418):a14(A,1):-1.1775520960162207 
data(p418):a15(A,0):-0.40535935733496475 
data(p418):a1(A,b):0.7985799657789279 
data(p418):a4(A,u):-0.5050548642691816 
data(p418):a5(A,g):-0.18823106226624287 
data(p418):a6(A,c):1.1049934258370677 
data(p418):a7(A,v):-0.2876806908384125 
data(p418):a9(A,f):-2.8399730707660082 
data(p418):a10(A,f):-0.17914129161639467 
data(p418):a12(A,t):0.029004744003102628 
data(p418):a13(A,g):-0.14081024375600795 
data(p553):a2(A,2):-0.49693367264003396 
data(p553):a3(A,3):-0.11191464003953272 
data(p553):a8(A,3):2.4992160333162396 
data(p553):a11(A,1):1.33476467805772 
data(p553):a14(A,0):1.196633190381385 
data(p553):a15(A,1):-0.6997318548607613 
data(p553):a1(A,b):0.2858211338713856 
data(p553):a4(A,u):-0.18448236019897185 
data(p553):a5(A,g):-0.1427217727560659 
data(p553):a6(A,r):0.0 
data(p553):a7(A,n):0.0 
data(p553):a9(A,t):1.577430585482426 
data(p553):a10(A,t):-0.09733968319570602 
data(p553):a12(A,t):0.14906727584577945 
data(p553):a13(A,g):-0.10629726544103103 
data(p278):a2(A,0):0.09112577541993618 
data(p278):a3(A,3):-0.3397831483154425 
data(p278):a8(A,0):-0.8175600946667119 
data(p278):a11(A,0):-0.23953823098321636 
data(p278):a14(A,3):0.7300167560118105 
data(p278):a15(A,0):-0.06124434589797527 
data(p278):a1(A,a):1.4928586357991587 
data(p278):a4(A,y):-1.0112989638130538 
data(p278):a5(A,p):-0.7289867202844355 
data(p278):a6(A,q):0.0676043351362414 
data(p278):a7(A,h):0.290965662403058 
data(p278):a9(A,f):-2.4772652757208165 
data(p278):a10(A,f):-0.04565592776678954 
data(p278):a12(A,f):-0.1478615231374143 
data(p278):a13(A,g):-0.2752545179766346 
data(p623):a2(A,1):1.0153119270472377 
data(p623):a3(A,0):0.8377802436008797 
data(p623):a8(A,0):-0.6473111969988387 
data(p623):a11(A,0):-0.28924928573367514 
data(p623):a14(A,2):-0.8333684354936709 
data(p623):a15(A,0):-0.4513333779250791 
data(p623):a1(A,a):1.5905843293978614 
data(p623):a9(A,f):-1.464085796930243 
data(p623):a10(A,f):-0.2786644456091668 
data(p623):a12(A,f):0.39906837576515886 
data(p623):a13(A,p):1.1490928763063264 
data(p656):a2(A,0):0.7196908370394388 
data(p656):a3(A,2):-0.08963306571474679 
data(p656):a8(A,0):-0.7202698407805902 
data(p656):a11(A,0):-0.29072486755171595 
data(p656):a14(A,0):0.6870176018813933 
data(p656):a15(A,0):0.6754590041008741 
data(p656):a1(A,a):1.5509743054840037 
data(p656):a4(A,y):-1.161445603355674 
data(p656):a5(A,p):-0.7883631274235129 
data(p656):a6(A,ff):-0.21510551207094222 
data(p656):a7(A,ff):-0.20194588786145035 
data(p656):a9(A,f):-3.055320896739846 
data(p656):a10(A,f):-0.3928126161741995 
data(p656):a12(A,f):0.04527703289699481 
data(p656):a13(A,g):-0.2431747334765821 
data(p91):a2(A,3):-1.5753112331130987 
data(p91):a3(A,3):-0.37188526432754265 
data(p91):a8(A,3):2.279273471243839 
data(p91):a11(A,0):-0.42480602325232797 
data(p91):a14(A,1):-0.6468056066492435 
data(p91):a15(A,0):-0.6088423010663604 
data(p91):a1(A,b):0.15264286305057276 
data(p91):a4(A,y):-1.630983085980046 
data(p91):a5(A,p):-0.8840588245250226 
data(p91):a6(A,c):-0.17193659932607366 
data(p91):a7(A,h):1.1264498931675313 
data(p91):a9(A,t):1.1581752225040887 
data(p91):a10(A,f):-1.0750791779542208 
