data(p756):a1(A,f):-0.17670463857288382 
data(p2657):a11(A,f):-0.27738716528296953 
data(p2657):a12(A,f):0.05790928067696359 
data(p2657):a13(A,g):-0.04180206346677064 
data(p2657):a14(A,f):0.0025452633914812765 
data(p2657):a15(A,n):0.06207600438398973 
data(p2657):a16(A,f):0.08793366085879414 
data(p2657):a17(A,f):-0.05527518965586863 
data(p2657):a18(A,t):-0.08283209130820744 
data(p2657):a19(A,f):0.0 
data(p2657):a20(A,f):-0.006931494860611319 
data(p2657):a21(A,f):-2.061189287625711 
data(p2657):a22(A,f):0.053544053366838006 
data(p2657):a23(A,f):0.13443478260143019 
data(p2657):a24(A,f):0.04801485037179688 
data(p2657):a25(A,f):0.0 
data(p2657):a26(A,t):-0.10083873581034894 
data(p2657):a27(A,f):0.05593011004623551 
data(p2657):a28(A,f):0.0 
data(p2657):a29(A,f):0.00031856310424634393 
data(p2657):a30(A,f):0.04327903883662858 
data(p2657):a31(A,f):-0.02136405392608948 
data(p2657):a32(A,f):0.11583739634818371 
data(p2657):a33(A,t):-2.1407865394754806 
data(p2657):a34(A,t):-0.25493862150994756 
data(p2657):a35(A,t):0.16618683577902268 
data(p2657):a36(A,t):-0.24932652170064268 
data(p1826):a1(A,f):-0.26018057729540717 
data(p1826):a2(A,f):-0.08599785127351647 
data(p1826):a3(A,f):0.07220264386061459 
data(p1826):a4(A,f):0.227597494878902 
data(p1826):a5(A,f):0.02118616595137887 
data(p1826):a6(A,t):0.6588671031550944 
data(p1826):a7(A,f):0.10585290408689614 
data(p1826):a8(A,f):0.060620447723917385 
data(p1826):a9(A,t):0.03195357475784618 
data(p1826):a10(A,f):2.248156357176706 
data(p1826):a11(A,t):-0.04884927526287567 
data(p1826):a12(A,f):-0.02546489629987548 
data(p1826):a13(A,l):-0.029452390918004643 
data(p1826):a14(A,f):0.0031615403583659953 
data(p1826):a15(A,n):-0.09304674721776804 
data(p1826):a16(A,f):0.1030204763633849 
data(p1826):a17(A,f):-0.05138733634712177 
data(p1826):a18(A,f):0.3123152841020729 
data(p1826):a19(A,f):0.0 
data(p1826):a20(A,t):-0.22287920263932723 
data(p1826):a21(A,f):-1.3381079057578562 
data(p1826):a22(A,t):-0.09648682334611355 
data(p1826):a23(A,f):0.13452379447119722 
data(p1826):a24(A,f):-0.033095017725370865 
data(p1826):a25(A,f):0.0 
data(p1826):a26(A,t):0.05261084486752199 
data(p1826):a27(A,f):0.07273820623110963 
data(p1826):a28(A,f):0.0 
data(p1826):a29(A,f):0.0004229011601465278 
data(p1826):a30(A,f):0.05659866346923292 
data(p1826):a31(A,t):0.4143683161059241 
data(p1826):a32(A,f):0.1836457927751677 
data(p1826):a33(A,f):1.8232581143793734 
data(p1826):a34(A,f):0.005436020291815042 
data(p1826):a35(A,t):0.34241054655917497 
data(p1826):a36(A,n):0.11081371881793169 
data(p654):a1(A,f):-0.26511919227973124 
data(p654):a2(A,f):-0.047369195655285384 
data(p654):a3(A,f):0.0703177989364443 
data(p654):a4(A,f):0.24111495937949146 
data(p654):a5(A,f):-0.20245650693954254 
data(p654):a6(A,t):0.702230604748036 
data(p654):a7(A,f):0.07767910851300641 
data(p654):a8(A,f):0.035884950536487596 
data(p654):a9(A,f):0.18330003342526127 
data(p654):a10(A,f):2.2483764663428683 
data(p654):a11(A,f):-0.3703028137198543 
data(p654):a12(A,f):0.09462954904847797 
data(p654):a13(A,g):0.04718482809442358 
data(p654):a14(A,f):0.0032699542997646916 
data(p654):a15(A,n):0.10436082440482623 
data(p654):a16(A,f):0.10967326520437358 
data(p654):a17(A,f):-0.052981987536983036 
data(p654):a18(A,t):-0.11669348718598752 
data(p654):a19(A,f):0.0 
data(p654):a20(A,f):0.03623274473263969 
data(p654):a21(A,f):-1.3611287395503024 
data(p654):a22(A,f):0.03457549490680048 
data(p654):a23(A,f):0.16864585655569675 
data(p654):a24(A,f):0.002809207830668856 
data(p654):a25(A,f):0.0 
data(p654):a26(A,t):-0.14951973823612558 
data(p654):a27(A,f):0.06433850561515203 
data(p654):a28(A,f):0.0 
data(p654):a29(A,f):0.0004229011601465278 
data(p654):a30(A,f):0.03764974652650191 
data(p654):a31(A,f):-0.011523694087577705 
data(p654):a32(A,f):0.19053085595592972 
data(p654):a33(A,f):2.062930914628112 
data(p654):a34(A,t):-0.14881565442247993 
data(p654):a35(A,t):0.39391009375098646 
data(p654):a36(A,t):-0.34883100940853495 
data(p2399):a1(A,t):0.7862697031470643 
data(p2399):a2(A,f):-0.039383380837941684 
data(p2399):a3(A,f):0.07103469856099666 
data(p2399):a4(A,f):0.1608849733846136 
data(p2399):a5(A,f):-0.09394002638334517 
data(p2399):a6(A,f):-1.0202344141133821 
data(p2399):a7(A,t):-0.2992709994158706 
data(p2399):a8(A,t):-0.030238896226254842 
data(p2399):a9(A,t):0.015248615284979956 
data(p2399):a10(A,t):-3.325739959889547 
data(p2399):a11(A,t):-0.016760825870248734 
data(p2399):a12(A,f):-0.04497221453772184 
data(p2399):a13(A,g):0.23682966468875707 
data(p2399):a14(A,f):0.005977952825417434 
data(p2399):a15(A,n):0.056036063665248555 
data(p2399):a16(A,f):0.08442071216160163 
data(p2399):a17(A,f):-0.05483846185996697 
data(p2399):a18(A,t):-0.019900811374711055 
data(p2399):a19(A,f):0.0 
data(p2399):a20(A,f):0.026776504282743065 
data(p2399):a21(A,f):-1.8612363209952378 
data(p2399):a22(A,f):0.015210685586359796 
data(p2399):a23(A,f):0.18216806194264243 
data(p2399):a24(A,f):-0.10385406711238718 
data(p2399):a25(A,f):0.0 
data(p2399):a26(A,t):0.03403772051246961 
data(p2399):a27(A,f):0.061750799728291283 
data(p2399):a28(A,f):0.0 
data(p2399):a29(A,f):0.00031856310424634393 
data(p2399):a30(A,f):0.033630796132853066 
data(p2399):a31(A,f):-0.09332235785342198 
data(p2399):a32(A,f):0.1710908163483304 
data(p2399):a33(A,f):1.4300175422846615 
data(p2399):a34(A,f):-0.4539353323734749 
data(p2399):a35(A,t):0.26123512998884707 
data(p2399):a36(A,n):0.10766572493928202 
data(p944):a1(A,f):-0.764482719728811 
data(p944):a2(A,f):-0.0596159203590659 
data(p944):a3(A,f):0.06488881785392092 
data(p944):a4(A,f):0.17877842755031473 
data(p944):a5(A,f):0.1764813047351056 
data(p944):a6(A,f):-1.4920746052100762 
data(p944):a7(A,t):-0.20279255764344659 
data(p944):a8(A,f):0.028552705177949285 
data(p944):a9(A,f):0.047010405619720516 
data(p944):a10(A,f):2.062902292457368 
data(p944):a11(A,t):0.006023661796270058 
data(p944):a12(A,f):-0.020525016108070056 
data(p944):a13(A,l):0.055359588520665866 
data(p944):a14(A,f):0.0029615512979343354 
data(p944):a15(A,b):-4.435045289552761 
data(p944):a16(A,f):0.0881317628348584 
data(p944):a17(A,f):-0.057765693398401215 
data(p944):a18(A,t):-0.15567664097146824 
data(p944):a19(A,f):0.0 
data(p944):a20(A,f):0.020895145810567728 
data(p944):a21(A,f):-1.4124584940025573 
data(p944):a22(A,f):0.030985380410207673 
data(p944):a23(A,f):0.18098306314486082 
data(p944):a24(A,f):-0.08953378569644624 
data(p944):a25(A,f):0.0 
data(p944):a26(A,t):-0.007508084876923169 
data(p944):a27(A,f):0.055506743609315706 
data(p944):a28(A,f):0.0 
data(p944):a29(A,f):0.0004229011601465278 
data(p944):a30(A,f):0.035092446812458586 
data(p944):a31(A,f):-0.08316596315757545 
data(p944):a32(A,f):0.1846928248378739 
data(p944):a33(A,f):1.723509028752338 
data(p944):a34(A,t):-0.02235620655184412 
data(p944):a35(A,t):0.14558598232050154 
data(p944):a36(A,n):-0.012737835416649667 
data(p1787):a1(A,t):0.5330564758874539 
data(p1787):a2(A,t):-0.03260028529375316 
data(p1787):a3(A,f):0.06781482386550342 
data(p1787):a4(A,t):-0.7450499628353112 
data(p1787):a5(A,f):-0.24142473763404262 
data(p1787):a6(A,t):0.5785004158429566 
data(p1787):a7(A,f):0.21468160905441916 
data(p1787):a8(A,f):0.039718627478733275 
data(p1787):a9(A,f):0.0923601983496385 
data(p1787):a10(A,f):2.238032289074557 
data(p1787):a11(A,t):0.029612280479023485 
data(p1787):a12(A,f):-0.03537944899826831 
data(p1787):a13(A,l):0.0048345606229122816 
data(p1787):a14(A,f):0.0064729167852010825 
data(p1787):a15(A,n):0.02438657465291718 
data(p1787):a16(A,f):0.11209612092275854 
data(p1787):a17(A,f):-0.05150180336045118 
data(p1787):a18(A,t):-0.045827944026164 
data(p1787):a19(A,f):0.0 
data(p1787):a20(A,f):0.025668251817717813 
data(p1787):a21(A,f):-1.3000384043568465 
data(p1787):a22(A,f):0.011656784983542147 
data(p1787):a23(A,f):0.1645851945767799 
data(p1787):a24(A,t):0.0038432940319375933 
data(p1787):a25(A,f):0.0 
data(p1787):a26(A,t):0.03519500862286128 
data(p1787):a27(A,f):0.07426676359082485 
data(p1787):a28(A,f):0.0 
data(p1787):a29(A,f):0.0004229011601465278 
data(p1787):a30(A,f):0.04306884270635468 
data(p1787):a31(A,f):-0.03894402727214693 
data(p1787):a32(A,f):0.18126723845992898 
data(p1787):a33(A,f):2.0729274894401253 
data(p1787):a34(A,f):0.06464090328311385 
data(p1787):a35(A,t):0.29997396912792695 
data(p1787):a36(A,n):0.07525495602188308 
data(p2164):a1(A,f):-0.3580431490515091 
data(p2164):a2(A,f):-0.07690274613601401 
data(p2164):a3(A,f):0.07153545465932275 
data(p2164):a4(A,f):0.1954298193892919 
data(p2164):a5(A,f):0.02215921761680363 
data(p2164):a6(A,f):-1.1134973167858562 
data(p2164):a7(A,f):0.06197813694892805 
data(p2164):a8(A,f):0.04585574718859032 
data(p2164):a9(A,f):0.17097244815623833 
data(p2164):a10(A,f):1.2295222402203416 
data(p2164):a11(A,t):-0.04381146011555483 
data(p2164):a12(A,f):-0.08412785215873061 
data(p2164):a13(A,l):0.05953447997154055 
data(p2164):a14(A,f):0.003385633275153454 
data(p2164):a15(A,w):2.701551365409898 
data(p2164):a16(A,f):0.08783704034548462 
data(p2164):a17(A,f):-0.0501567000690896 
data(p2164):a18(A,f):0.9062621160488068 
data(p2164):a19(A,f):0.0 
data(p2164):a20(A,t):-0.3886476856492162 
data(p2164):a21(A,t):2.554169546913139 
data(p2164):a22(A,f):0.03030685460311426 
data(p2164):a23(A,f):0.15349358847805658 
data(p2164):a24(A,t):-0.11760632524153357 
data(p2164):a25(A,f):0.0 
data(p2164):a26(A,t):-0.008969061883109019 
data(p2164):a27(A,f):0.06225743327080631 
data(p2164):a28(A,f):0.0 
data(p2164):a29(A,f):0.003747009656562437 
data(p2164):a30(A,f):0.060849816678230036 
data(p2164):a31(A,t):0.44609927983313047 
data(p2164):a32(A,f):0.18642377450161887 
data(p2164):a33(A,f):0.5279442962270814 
data(p2164):a34(A,f):-0.19821693880334731 
data(p2164):a35(A,f):-2.1751888946466016 
data(p2164):a36(A,n):0.022077145340559694 
data(p2762):a1(A,f):-0.8214518521616461 
data(p2762):a2(A,f):-0.0332718240298104 
data(p2762):a3(A,f):0.06321794283798758 
data(p2762):a4(A,f):0.15769649775614486 
data(p2762):a5(A,t):0.16099723875371497 
data(p2762):a6(A,f):-1.4582214789472059 
data(p2762):a7(A,t):-0.258681126259861 
data(p2762):a8(A,t):-0.03983407005415062 
data(p2762):a9(A,t):0.08689087746028483 
data(p2762):a10(A,f):2.0378403316945004 
data(p2762):a11(A,t):0.14335961516060938 
data(p2762):a12(A,f):-0.010545335608720062 
data(p2762):a13(A,g):0.04520172325638601 
data(p2762):a14(A,f):0.0029540581035902664 
data(p2762):a15(A,b):-4.431229319683922 
data(p2762):a16(A,f):0.08664006466451096 
data(p2762):a17(A,f):-0.054596964311777414 
data(p2762):a18(A,t):-0.15266178901867358 
data(p2762):a19(A,f):0.0 
data(p2762):a20(A,f):0.002977040626382374 
data(p2762):a21(A,f):-1.4182993803817787 
data(p2762):a22(A,t):0.005077910629327686 
data(p2762):a23(A,f):0.16970161387133442 
data(p2762):a24(A,t):0.008783174498153036 
data(p2762):a25(A,f):0.0 
data(p2762):a26(A,t):-0.013708486829322719 
data(p2762):a27(A,f):0.05373634031165676 
data(p2762):a28(A,f):0.0 
data(p2762):a29(A,f):0.0004229011601465278 
data(p2762):a30(A,f):0.03219637161844297 
data(p2762):a31(A,f):-0.04609716251984657 
data(p2762):a32(A,f):0.1793935145824953 
data(p2762):a33(A,f):2.010992557706162 
data(p2762):a34(A,t):-0.08530271784652618 
data(p2762):a35(A,t):0.1653415568687474 
data(p2762):a36(A,n):-0.03235314998524404 
data(p974):a1(A,f):-0.5413004283009162 
data(p974):a2(A,f):-0.09113334588328402 
data(p974):a3(A,f):0.0638378927757499 
data(p974):a4(A,f):0.17850365990905173 
data(p974):a5(A,t):0.10876581351127194 
data(p974):a6(A,f):-1.5043489785076372 
data(p974):a7(A,t):-0.10176314147411433 
data(p974):a8(A,t):-0.03983407005415062 
data(p974):a9(A,t):0.021003128208590828 
data(p974):a10(A,f):1.8465512611479178 
data(p974):a11(A,t):0.028065915309781083 
data(p974):a12(A,f):-0.06436671609993087 
data(p974):a13(A,l):-0.04725089156322954 
data(p974):a14(A,f):0.0034605410762167032 
data(p974):a15(A,n):-0.35489622837766704 
data(p974):a16(A,f):0.09482132724180323 
data(p974):a17(A,f):-0.056903257979587486 
data(p974):a18(A,t):-0.12579124848669757 
data(p974):a19(A,f):0.0 
data(p974):a20(A,f):0.006226865340476086 
data(p974):a21(A,f):-1.4326876894079825 
data(p974):a22(A,f):0.042653667403444145 
data(p974):a23(A,f):0.19107301267256435 
data(p974):a24(A,f):-0.08114644214858995 
data(p974):a25(A,f):0.0 
data(p974):a26(A,t):-0.035480386752532726 
data(p974):a27(A,f):0.0507944658160511 
data(p974):a28(A,f):0.0 
data(p974):a29(A,f):0.0004229011601465278 
data(p974):a30(A,f):0.03704472475830885 
data(p974):a31(A,f):-0.10512966436651859 
data(p974):a32(A,f):0.1853869283089774 
data(p974):a33(A,f):1.574250430488504 
data(p974):a34(A,t):-0.031398449866292505 
data(p974):a35(A,f):-2.993600053394695 
data(p974):a36(A,n):-0.012443104076237112 
data(p1326):a1(A,f):-0.3271246449977068 
data(p1326):a2(A,f):-0.004880019473885822 
data(p1326):a3(A,f):0.06753232581692331 
data(p1326):a4(A,f):0.19517365830705555 
data(p1326):a5(A,f):0.019075510681982984 
data(p1326):a6(A,t):0.5765471363982398 
data(p1326):a7(A,f):0.07253954371500117 
data(p1326):a8(A,f):0.06559989385372245 
data(p1326):a9(A,f):0.15457404826428314 
data(p1326):a10(A,t):-3.537093658446189 
data(p1326):a11(A,t):0.18544230540330575 
data(p1326):a12(A,f):-0.018684772396224375 
data(p1326):a13(A,l):0.005135927419173043 
data(p1326):a14(A,f):0.0030082051201170837 
data(p1326):a15(A,n):0.07173362529603798 
data(p1326):a16(A,f):0.0918451071015672 
data(p1326):a17(A,f):-0.05367842889437371 
data(p1326):a18(A,t):-0.092976368722113 
data(p1326):a19(A,f):0.0 
data(p1326):a20(A,f):0.018160426985339748 
data(p1326):a21(A,f):-1.8797622485091516 
data(p1326):a22(A,f):0.03768688368423438 
data(p1326):a23(A,f):0.15684834552352056 
data(p1326):a24(A,t):0.004095380243851111 
data(p1326):a25(A,f):0.0 
data(p1326):a26(A,t):-0.015123914056361125 
data(p1326):a27(A,f):0.05039436098433732 
data(p1326):a28(A,f):0.0 
data(p1326):a29(A,f):0.00031856310424634393 
data(p1326):a30(A,f):0.03521168484397163 
data(p1326):a31(A,f):-0.009866845578812141 
data(p1326):a32(A,f):0.16012714552192095 
data(p1326):a33(A,f):1.6657047825558648 
data(p1326):a34(A,t):-0.09245072155823905 
data(p1326):a35(A,t):0.24126238136241818 
data(p1326):a36(A,n):-0.0013243967161232163 
data(p1056):a1(A,f):-0.28185863872235245 
data(p1056):a2(A,f):-0.023459935977965956 
data(p1056):a3(A,f):0.06455799171834681 
data(p1056):a4(A,f):0.20404323777594 
data(p1056):a5(A,t):0.16703746839027303 
data(p1056):a6(A,f):-0.3919668757431792 
data(p1056):a7(A,t):-0.6100367554148308 
data(p1056):a8(A,f):0.007481516747853835 
