data(p1365):buying(A,low):2.90348633382185 
data(p1098):doors(A,2):-0.5786379486298786 
data(p1098):persons(A,4):3.4014894813205885 
data(p1098):lugboot(A,big):1.0339371675710776 
data(p1098):safety(A,high):3.4588601444752025 
data(p408):buying(A,vhigh):-1.4638245809838515 
data(p408):maint(A,low):2.1989645909149367 
data(p408):doors(A,morethanfive):0.36409569705218664 
data(p408):persons(A,2):-4.249114560743409 
data(p408):lugboot(A,small):-0.8040337235365579 
data(p408):safety(A,high):4.043426322757467 
data(p859):buying(A,high):-1.0300267933342504 
data(p859):maint(A,low):1.1920946317270902 
data(p859):doors(A,morethanfive):0.6676756552557167 
data(p859):persons(A,more):2.589169607219989 
data(p859):lugboot(A,med):0.7901553609048789 
data(p859):safety(A,low):-4.642173765348366 
data(p1701):buying(A,low):1.321221680657884 
data(p1701):maint(A,low):1.058486606712945 
data(p1701):doors(A,4):0.09004478600284564 
data(p1701):persons(A,more):2.50000380621798 
data(p1701):lugboot(A,big):0.44557326287290866 
data(p1701):safety(A,high):2.995028931474633 
data(p1540):buying(A,low):1.772570428525779 
data(p1540):maint(A,med):0.9237274327189455 
data(p1540):doors(A,3):0.11309588875844626 
data(p1540):persons(A,2):-3.374439254256919 
data(p1540):lugboot(A,small):-0.7847639120365463 
data(p1540):safety(A,low):-3.162656041917658 
data(p1648):buying(A,low):1.6859693454938118 
data(p1648):maint(A,low):1.086421174601647 
data(p1648):doors(A,3):0.1429248141126233 
data(p1648):persons(A,2):-3.299505557334066 
data(p1648):lugboot(A,small):-0.7642075074709442 
data(p1648):safety(A,low):-3.1759194082558233 
data(p537):buying(A,high):-1.6504753476466125 
data(p537):maint(A,vhigh):-4.090602191300689 
data(p537):doors(A,morethanfive):0.4829039648108284 
data(p537):persons(A,more):2.5075445116877426 
data(p537):lugboot(A,med):0.6734621185416809 
data(p537):safety(A,high):3.5310684258990075 
data(p1243):buying(A,med):1.6418192963991942 
data(p1243):maint(A,low):1.3299635050933096 
data(p1243):doors(A,4):0.501187578160602 
data(p1243):persons(A,2):-3.242611149641751 
data(p1243):lugboot(A,small):-0.8921587513965797 
data(p1243):safety(A,low):-3.1882321472609085 
data(p1000):buying(A,med):1.1532925426926575 
data(p1000):maint(A,high):-0.7662122080738601 
data(p1000):doors(A,3):0.09437216004137118 
data(p1000):persons(A,2):-3.070504805687831 
data(p1000):lugboot(A,small):-0.8046304131664752 
data(p1000):safety(A,low):-3.0059295091170712 
data(p710):buying(A,high):-1.014565003261131 
data(p710):maint(A,med):1.272249444402761 
data(p710):doors(A,4):0.49105829047178706 
data(p710):persons(A,2):-4.8014118348628445 
data(p710):lugboot(A,big):1.5275405637489554 
data(p710):safety(A,med):2.1563734926712472 
data(p1106):buying(A,med):1.8314236693802814 
data(p1106):maint(A,med):1.2392629250933096 
data(p1106):doors(A,2):-1.8222324128626937 
data(p1106):persons(A,more):2.3903116523065586 
data(p1106):lugboot(A,big):2.2223039174770594 
data(p1106):safety(A,med):2.4832442548948173 
data(p130):buying(A,vhigh):-2.9681854916923314 
data(p130):maint(A,high):-1.1892286066547193 
data(p130):doors(A,2):-1.7599882848123423 
data(p130):persons(A,more):2.2036502258928015 
data(p130):lugboot(A,med):0.4732655871969738 
data(p130):safety(A,low):-3.7321658463012684 
data(p1350):buying(A,low):2.3768352122468213 
data(p1350):maint(A,vhigh):-2.489722190534369 
data(p1350):doors(A,3):0.18525455420979142 
data(p1350):persons(A,more):2.624781293019702 
data(p1350):lugboot(A,big):0.6736211769851712 
data(p1350):safety(A,high):3.151537961934065 
data(p1169):buying(A,med):1.503382640871004 
data(p1169):maint(A,med):1.2687072313151853 
data(p1169):doors(A,morethanfive):0.4189037161920203 
data(p1169):persons(A,2):-5.035956751693064 
data(p1169):lugboot(A,big):1.263625294597229 
data(p1169):safety(A,med):2.5795571804790454 
data(p1438):buying(A,low):1.985473846034626 
data(p1438):maint(A,high):-0.04221650744946825 
data(p1438):doors(A,3):-0.028048243564263973 
data(p1438):persons(A,2):-3.4023518272204916 
data(p1438):lugboot(A,big):0.8754168323054424 
data(p1438):safety(A,low):-3.2994278079234376 
data(p1589):buying(A,low):2.2377133332659995 
data(p1589):maint(A,med):1.1624683406795906 
data(p1589):doors(A,4):0.6082575547348057 
data(p1589):persons(A,more):2.7982910988735106 
data(p1589):lugboot(A,med):0.8983543870855937 
data(p1589):safety(A,med):2.5922066607693566 
data(p63):buying(A,vhigh):-2.2696390708683967 
data(p63):maint(A,vhigh):-2.4892227297743132 
data(p63):doors(A,4):0.3298228849510312 
data(p63):persons(A,2):-4.023983447587161 
data(p63):lugboot(A,big):0.5330001794516064 
data(p63):safety(A,high):2.8575560887407145 
data(p378):buying(A,vhigh):-2.0888778922415767 
data(p378):maint(A,low):2.2062660719616445 
data(p378):doors(A,3):0.23411571759617725 
data(p378):persons(A,more):2.7228958392479554 
data(p378):lugboot(A,big):0.5983893303159294 
data(p378):safety(A,high):3.3335621026642577 
data(p1312):buying(A,low):2.7713333621169824 
data(p1312):maint(A,vhigh):-2.1292543905222 
data(p1312):doors(A,2):-0.23528147073315536 
data(p1312):persons(A,4):2.763823802703513 
data(p1312):lugboot(A,big):1.5686259392582529 
data(p1312):safety(A,low):-4.216038874521439 
data(p11):buying(A,vhigh):-2.9160214906172355 
data(p11):maint(A,vhigh):-3.3457933089231426 
data(p11):doors(A,2):-1.1598847499222829 
data(p11):persons(A,4):2.7477896828341035 
data(p11):lugboot(A,small):-1.9148659967372723 
data(p11):safety(A,med):0.5804266223355499 
data(p887):buying(A,med):2.6080726075642584 
data(p887):maint(A,vhigh):-2.792858487887496 
data(p887):doors(A,2):-2.633433481056178 
data(p887):persons(A,more):2.549062978488852 
data(p887):lugboot(A,med):0.28442935467110597 
data(p887):safety(A,med):1.381295967809732 
data(p1600):buying(A,low):1.4606102135188626 
data(p1600):maint(A,med):0.8952520329215657 
data(p1600):doors(A,morethanfive):0.409146039777733 
data(p1600):persons(A,2):-3.6173970774957245 
data(p1600):lugboot(A,big):0.7073815967560221 
data(p1600):safety(A,low):-3.4636037166407916 
data(p696):buying(A,high):-0.9959977711433923 
data(p696):maint(A,med):1.1587497165772955 
data(p696):doors(A,3):0.46128059020357653 
data(p696):persons(A,more):2.1583023028078685 
data(p696):lugboot(A,small):-1.4326517938717782 
data(p696):safety(A,high):4.474870464331802 
data(p415):buying(A,vhigh):-1.6891007143000312 
data(p415):maint(A,low):2.2066304583428606 
data(p415):doors(A,morethanfive):0.5098417251386602 
data(p415):persons(A,4):2.5075415268569956 
data(p415):lugboot(A,small):-1.3209419741043962 
data(p415):safety(A,low):-4.053130082622735 
data(p28):buying(A,vhigh):-1.8468153039184168 
data(p28):maint(A,vhigh):-2.211671991623643 
data(p28):doors(A,3):0.08747099181792052 
data(p28):persons(A,2):-2.671847059640757 
data(p28):lugboot(A,small):-0.8839722033868732 
data(p28):safety(A,low):-2.4815044223140807 
data(p1345):buying(A,low):2.560399811498536 
data(p1345):maint(A,vhigh):-2.1665079547356223 
data(p1345):doors(A,3):0.009077266928295654 
data(p1345):persons(A,more):2.815946447360131 
data(p1345):lugboot(A,med):0.5366241785008716 
data(p1345):safety(A,low):-4.245441790917815 
data(p1663):buying(A,low):1.9576417304548457 
data(p1663):maint(A,low):1.094047201020609 
data(p1663):doors(A,3):-0.39221358630973313 
data(p1663):persons(A,4):2.633995665355704 
data(p1663):lugboot(A,big):1.0016486772294442 
data(p1663):safety(A,low):-4.975495499297418 
data(p1545):buying(A,low):1.459646227355085 
data(p1545):maint(A,med):0.8619837375944078 
data(p1545):doors(A,3):-0.15926533370801402 
data(p1545):persons(A,2):-5.118726975931281 
data(p1545):lugboot(A,med):0.23343058194386251 
data(p1545):safety(A,high):3.3334782699175824 
data(p377):buying(A,vhigh):-2.373155164373723 
data(p377):maint(A,low):2.147464481605917 
data(p377):doors(A,3):0.10250650330034751 
data(p377):persons(A,more):2.907361785783364 
data(p377):lugboot(A,big):1.6512605405470768 
data(p377):safety(A,med):2.1427568121384 
data(p572):buying(A,high):-0.42909657841212745 
data(p572):maint(A,high):0.21097062380799753 
data(p572):doors(A,3):-0.5099071213971842 
data(p572):persons(A,2):-4.45315119720587 
data(p572):lugboot(A,med):0.3184592244191244 
data(p572):safety(A,med):1.2091296238393525 
data(p916):buying(A,med):2.3824572258495325 
data(p916):maint(A,vhigh):-1.8749304931313802 
data(p916):doors(A,3):0.23771667782342945 
data(p916):persons(A,more):2.811760298686801 
data(p916):lugboot(A,big):1.113371436241103 
data(p916):safety(A,low):-4.338344404784792 
data(p502):buying(A,high):-1.6172010946737971 
data(p502):maint(A,vhigh):-3.407168035003427 
data(p502):doors(A,4):0.49535612506763693 
data(p502):persons(A,4):2.0050731728601443 
data(p502):lugboot(A,big):1.1957730900192123 
data(p502):safety(A,low):-4.105634953156356 
data(p14):buying(A,vhigh):-2.8838004184471924 
data(p14):maint(A,vhigh):-3.5212484303815157 
data(p14):doors(A,2):-1.6905139807649234 
data(p14):persons(A,4):2.0999045911673035 
data(p14):lugboot(A,med):-0.14335234348979523 
data(p14):safety(A,med):0.9056232823416567 
data(p660):buying(A,high):-1.143161629476535 
data(p660):maint(A,med):1.1082731738067475 
data(p660):doors(A,2):-1.62370914223432 
data(p660):persons(A,4):3.725215194555631 
data(p660):lugboot(A,small):-1.2768861598219168 
data(p660):safety(A,high):4.661621007423617 
data(p583):buying(A,high):-0.2095319636356114 
data(p583):maint(A,high):0.09846027023564599 
data(p583):doors(A,3):-0.3584526992373646 
data(p583):persons(A,4):1.9331984621421154 
data(p583):lugboot(A,big):1.240800487881854 
data(p583):safety(A,low):-4.562478484546222 
data(p241):buying(A,vhigh):-1.4263289257977414 
data(p241):maint(A,med):1.7952441262638137 
data(p241):doors(A,2):-1.1112130778327418 
data(p241):persons(A,more):2.020036209603768 
data(p241):lugboot(A,big):1.7321097937833978 
data(p241):safety(A,low):-4.1755898448070985 
data(p680):buying(A,high):-1.0943855996007161 
data(p680):maint(A,med):1.3122353923070886 
data(p680):doors(A,3):-0.4996662066444836 
data(p680):persons(A,2):-4.639754167412931 
data(p680):lugboot(A,med):0.29290963178470664 
data(p680):safety(A,med):1.4356212505275139 
data(p713):buying(A,high):-1.58555628055199 
data(p713):maint(A,med):1.519491005309881 
data(p713):doors(A,4):0.5828772082856022 
data(p713):persons(A,4):2.4559704501293798 
data(p713):lugboot(A,small):-2.1760306700437524 
data(p713):safety(A,med):1.0635742946607931 
data(p658):buying(A,high):-1.1424089491949005 
data(p658):maint(A,med):1.220291796122397 
data(p658):doors(A,2):-1.14035333172854 
data(p658):persons(A,4):3.204694485365338 
data(p658):lugboot(A,small):-1.3950086221055447 
data(p658):safety(A,low):-4.063999694959931 
data(p893):buying(A,med):2.5382056144800984 
data(p893):maint(A,vhigh):-2.251167953224886 
data(p893):doors(A,3):-0.0752622437551587 
data(p893):persons(A,2):-4.256643543862638 
data(p893):lugboot(A,small):-1.4322756533025653 
data(p893):safety(A,med):0.899853312001847 
data(p1303):buying(A,low):2.217166577382619 
data(p1303):maint(A,vhigh):-1.390033957034664 
data(p1303):doors(A,2):-0.4709913760277693 
data(p1303):persons(A,2):-3.2414784210228147 
data(p1303):lugboot(A,big):1.5641385134375114 
data(p1303):safety(A,low):-2.90446644111239 
data(p418):buying(A,vhigh):-1.5552545732825878 
data(p418):maint(A,low):2.195627381689197 
data(p418):doors(A,morethanfive):0.7711968904556834 
data(p418):persons(A,4):2.287362030965695 
data(p418):lugboot(A,med):0.42790521783010277 
data(p418):safety(A,low):-4.268154316915204 
data(p1110):buying(A,med):1.4532891094217464 
data(p1110):maint(A,med):0.9064515467353661 
data(p1110):doors(A,3):0.16739028278299845 
data(p1110):persons(A,2):-4.841436716077353 
data(p1110):lugboot(A,small):-0.5369358920202343 
data(p1110):safety(A,high):3.909238404334678 
data(p1035):buying(A,med):1.0845917362826487 
data(p1035):maint(A,high):-0.9476974193306771 
data(p1035):doors(A,4):0.289705967845655 
data(p1035):persons(A,2):-4.834292140634765 
data(p1035):lugboot(A,big):0.36672807676770824 
data(p1035):safety(A,high):2.9065103711837943 
data(p1646):buying(A,low):1.8573999760043507 
data(p1646):maint(A,low):0.9565412097382079 
data(p1646):doors(A,2):-1.9368761873718459 
data(p1646):persons(A,more):2.2431284932902886 
data(p1646):lugboot(A,big):2.070188414652108 
data(p1646):safety(A,med):2.4739649845756646 
data(p166):buying(A,vhigh):-2.731668298776094 
data(p166):maint(A,high):-1.143669168253556 
data(p166):doors(A,4):0.7084599622200249 
data(p166):persons(A,2):-2.9133326771975505 
data(p166):lugboot(A,med):0.6768141507219998 
data(p166):safety(A,low):-2.7466298145687857 
data(p1267):buying(A,med):1.638759341554916 
data(p1267):maint(A,low):1.198998007743465 
data(p1267):doors(A,4):0.233950893276184 
data(p1267):persons(A,more):2.5578436130361384 
data(p1267):lugboot(A,big):0.8126686601118321 
data(p1267):safety(A,low):-4.918481030845927 
data(p1597):buying(A,low):1.6348794329583418 
data(p1597):maint(A,med):0.9281880450568611 
data(p1597):doors(A,morethanfive):0.7240187505095853 
data(p1597):persons(A,2):-3.527812370840895 
data(p1597):lugboot(A,med):0.6245510278722742 
data(p1597):safety(A,low):-3.3762112780055777 
data(p842):buying(A,high):-1.218247212526845 
data(p842):maint(A,low):1.2597476345310528 
data(p842):doors(A,morethanfive):0.9032332018691273 
data(p842):persons(A,2):-4.605991011442207 
data(p842):lugboot(A,med):0.6152194485139458 
data(p842):safety(A,med):1.648761581791651 
data(p755):buying(A,high):-1.2668385698903701 
data(p755):maint(A,med):1.3903912785128711 
data(p755):doors(A,morethanfive):0.46281219833939297 
data(p755):persons(A,more):2.5662812395293098 
data(p755):lugboot(A,big):1.6273956351854466 
data(p755):safety(A,med):2.379511765730822 
data(p91):buying(A,vhigh):-2.287442314711835 
data(p91):maint(A,vhigh):-2.7358682406469814 
data(p91):doors(A,morethanfive):0.5525023154498473 
data(p91):persons(A,4):2.0303671903944878 
data(p91):lugboot(A,small):-1.1845158715216155 
data(p91):safety(A,low):-3.4764925061260454 
data(p215):buying(A,vhigh):-4.086882968736403 
data(p215):maint(A,high):-1.8427863496619652 
data(p215):doors(A,morethanfive):0.37637050272864225 
data(p215):persons(A,more):2.483048528921658 
data(p215):lugboot(A,big):1.4940507303342312 
data(p215):safety(A,med):2.198911671693645 
data(p388):buying(A,vhigh):-1.7203742236325217 
data(p388):maint(A,low):2.188727238545525 
data(p388):doors(A,4):0.4681246987690139 
data(p388):persons(A,4):2.464534515018829 
data(p388):lugboot(A,small):-1.2436279661654788 
data(p388):safety(A,low):-4.064882452182188 
data(p629):buying(A,high):-0.3586423985056933 
data(p629):maint(A,high):0.07045035552650256 
data(p629):doors(A,morethanfive):0.48752513063116454 
data(p629):persons(A,2):-4.5878184074063055 
data(p629):lugboot(A,big):1.4741126502672073 
data(p629):safety(A,med):1.9160318060488435 
data(p549):buying(A,high):-0.07644357985486304 
data(p549):maint(A,high):0.2221643537927066 
data(p549):doors(A,2):-0.6207123301679087 
data(p549):persons(A,2):-4.545125101892979 
data(p549):lugboot(A,big):1.1346323348822036 
data(p549):safety(A,high):3.028678994165722 
data(p602):buying(A,high):-0.37344378545930107 
data(p602):maint(A,high):0.12261128113508844 
data(p602):doors(A,4):0.49286428994184983 
data(p602):persons(A,2):-4.600334555330617 
data(p602):lugboot(A,big):1.500553574549786 
data(p602):safety(A,med):1.935976811008036 
data(p1394):buying(A,low):3.2282196777264898 
data(p1394):maint(A,vhigh):-3.1762662877216536 
data(p1394):doors(A,morethanfive):0.4849230015742936 
data(p1394):persons(A,4):2.5571044347345233 
data(p1394):lugboot(A,big):1.5317316786393347 
data(p1394):safety(A,med):2.2970612788967455 
data(p930):buying(A,med):2.636171949283504 
data(p930):maint(A,vhigh):-2.6196637941854948 
data(p930):doors(A,4):0.4288630213425994 
data(p930):persons(A,4):2.697298183248019 
data(p930):lugboot(A,small):-0.6869147876322463 
data(p930):safety(A,high):4.471936841592797 
data(p1408):buying(A,low):2.1366585889331544 
data(p1408):maint(A,high):0.1537239372498325 
data(p1408):doors(A,2):-1.3912698450329952 
data(p1408):persons(A,2):-3.2453804902709567 
data(p1408):lugboot(A,med):0.24731767535723193 
data(p1408):safety(A,low):-3.033149569312963 
data(p1689):buying(A,low):1.8119838393298857 
data(p1689):maint(A,low):1.2280787276512684 
data(p1689):doors(A,4):0.4647024259194903 
data(p1689):persons(A,4):3.195036491395727 
data(p1689):lugboot(A,med):0.30121833250303115 
data(p1689):safety(A,high):3.6532662642877645 
data(p1490):buying(A,low):2.5777827957011725 
data(p1490):maint(A,high):-0.21419724087473618 
data(p1490):doors(A,morethanfive):0.7395292375366154 
data(p1490):persons(A,2):-4.762622216196351 
data(p1490):lugboot(A,med):0.6325515289786144 
data(p1490):safety(A,med):2.0951496565748227 
data(p1139):buying(A,med):1.613808671422413 
data(p1139):maint(A,med):1.2741571168993753 
data(p1139):doors(A,4):0.8179165169751896 
data(p1139):persons(A,2):-4.891646246080091 
data(p1139):lugboot(A,med):0.5386909827370006 
data(p1139):safety(A,med):2.1832674163243726 
data(p492):buying(A,high):-1.4077819704738086 
data(p492):maint(A,vhigh):-3.3208334188620463 
data(p492):doors(A,4):0.6118997901238756 
data(p492):persons(A,2):-4.174148924828641 
data(p492):lugboot(A,med):0.5014929314696639 
data(p492):safety(A,high):3.363070957754432 
data(p617):buying(A,high):-0.615302261315072 
data(p617):maint(A,high):0.02435453178484849 
data(p617):doors(A,4):0.6935628827932344 
data(p617):persons(A,more):2.6757033950947666 
data(p617):lugboot(A,med):0.94044138693291 
data(p617):safety(A,med):1.743949411237255 
data(p665):buying(A,high):-1.4671331239923417 
data(p665):maint(A,med):1.3707438213383458 
data(p665):doors(A,2):-1.0128275459800848 
data(p665):persons(A,4):2.7529630649337324 
data(p665):lugboot(A,big):2.332733699165132 
data(p665):safety(A,med):1.8635488075058688 
data(p939):buying(A,med):2.6735706899153278 
data(p939):maint(A,vhigh):-2.2540074908709102 
data(p939):doors(A,4):0.40955171374847654 
data(p939):persons(A,more):2.015327452304643 
data(p939):lugboot(A,small):-1.227967166319477 
data(p939):safety(A,high):4.161493422260699 
data(p1363):buying(A,low):2.910104016405839 
data(p1363):maint(A,vhigh):-2.2375267212301204 
data(p1363):doors(A,4):0.7406062235803256 
data(p1363):persons(A,4):2.2688035511553566 
data(p1363):lugboot(A,med):0.48399278129396894 
data(p1363):safety(A,low):-4.274883759351274 
data(p656):buying(A,high):-1.090627608600139 
data(p656):maint(A,med):1.2147483496104954 
data(p656):doors(A,2):-1.227290102042834 
data(p656):persons(A,2):-4.695476027178304 
data(p656):lugboot(A,big):2.2472527247995298 
data(p656):safety(A,med):1.7743938964489223 
data(p750):buying(A,high):-0.9506093392665278 
data(p750):maint(A,med):1.1912070847816516 
data(p750):doors(A,morethanfive):0.41280764006811627 
data(p750):persons(A,more):1.9135401170915074 
data(p750):lugboot(A,small):-1.5815502919293527 
data(p750):safety(A,high):4.306487046060574 
data(p295):buying(A,vhigh):-1.5263881074431582 
data(p295):maint(A,med):1.8597006984290574 
data(p295):doors(A,4):0.22195874727451761 
data(p295):persons(A,more):2.2664521117665317 
data(p295):lugboot(A,big):1.0066713561224707 
data(p295):safety(A,low):-4.371231141187548 
data(p1594):buying(A,low):1.7395818318117582 
data(p1594):maint(A,med):0.9711551831969193 
data(p1594):doors(A,morethanfive):0.47396893321289324 
data(p1594):persons(A,2):-3.357530293962641 
data(p1594):lugboot(A,small):-1.0344602824876867 
data(p1594):safety(A,low):-3.182432806568568 
data(p1165):buying(A,med):1.2673180114853764 
data(p1165):maint(A,med):1.105751489524705 
data(p1165):doors(A,morethanfive):0.6421755117729049 
data(p1165):persons(A,2):-3.4411914082707065 
data(p1165):lugboot(A,med):0.5024241208893571 
data(p1165):safety(A,low):-3.363684265919854 
data(p368):buying(A,vhigh):-2.4501209067826832 
data(p368):maint(A,low):2.29356494011042 
data(p368):doors(A,3):-0.5947360497779784 
data(p368):persons(A,4):2.1067911345772603 
data(p368):lugboot(A,big):1.7487106497396976 
data(p368):safety(A,med):1.8903450335376566 
data(p849):buying(A,high):-1.2270718578213857 
data(p849):maint(A,low):1.5421944923735822 
data(p849):doors(A,morethanfive):0.42689899322177177 
data(p849):persons(A,4):2.988647638879388 
data(p849):lugboot(A,small):-0.881316688279433 
data(p849):safety(A,high):4.793193659205004 
data(p1607):buying(A,low):2.6509590239961756 
data(p1607):maint(A,med):1.2521102426535486 
data(p1607):doors(A,morethanfive):0.8437392382048435 
data(p1607):persons(A,4):2.6908741650243075 
data(p1607):lugboot(A,med):0.3551899429555388 
data(p1607):safety(A,med):2.3440104651603244 
data(p371):buying(A,vhigh):-2.397766095002886 
