data(p140):handicapped_infants(A,y):0.2116940106905232 
data(p272):religious_groups_in_schools(A,y):0.23383222924956473 
data(p272):anti_satellite_test_ban(A,y):-0.2167842056075023 
data(p272):aid_to_nicaraguan_contras(A,y):0.4145815707722019 
data(p272):mx_missile(A,y):1.6960337576212048 
data(p272):immigration(A,n):0.5849184502832515 
data(p272):education_spending(A,n):1.2000830682498564 
data(p272):superfund_right_to_sue(A,n):0.435102379974782 
data(p272):crime(A,n):0.13931135473770093 
data(p272):duty_free_exports(A,n):-0.4702176907659551 
data(p272):export_administration_act_south_africa(A,y):-0.410229644927884 
data(p205):handicapped_infants(A,n):0.4976487166205525 
data(p205):water_project_cost_sharing(A,n):-0.161793667856525 
data(p205):budget_resolution(A,y):1.4791962916151056 
data(p205):physician_fee_freeze(A,y):-5.148992625469937 
data(p205):el_salvador_aid(A,y):-0.17955801259727386 
data(p205):religious_groups_in_schools(A,y):0.21308487624801456 
data(p205):anti_satellite_test_ban(A,y):-0.24104250381971562 
data(p205):aid_to_nicaraguan_contras(A,n):2.26766097000872 
data(p205):mx_missile(A,n):0.12710646983968024 
data(p205):immigration(A,n):0.5939090292930655 
data(p205):synfuels_corporation_cutback(A,n):-1.2923820243347028 
data(p205):education_spending(A,y):0.8595697416890921 
data(p205):superfund_right_to_sue(A,y):-0.10433289348285693 
data(p205):crime(A,y):0.06110739199597015 
data(p205):duty_free_exports(A,n):-0.3579140512835942 
data(p205):export_administration_act_south_africa(A,y):-0.5503271030680398 
data(p94):handicapped_infants(A,y):0.114743039628458 
data(p94):water_project_cost_sharing(A,n):-0.16727234393008747 
data(p94):budget_resolution(A,y):0.9901815034669452 
data(p94):physician_fee_freeze(A,n):1.4604460042241547 
data(p94):el_salvador_aid(A,n):-0.3180022778542086 
data(p94):religious_groups_in_schools(A,n):-0.2842968058592169 
data(p94):anti_satellite_test_ban(A,y):-0.1850485812174101 
data(p94):aid_to_nicaraguan_contras(A,n):2.0664436369864 
data(p94):mx_missile(A,y):1.7153719519570587 
data(p94):immigration(A,y):-0.9121252715372292 
data(p94):synfuels_corporation_cutback(A,y):0.20235842382068117 
data(p94):education_spending(A,n):1.1689787574074957 
data(p94):superfund_right_to_sue(A,n):0.396127386201462 
data(p94):crime(A,n):0.15705210380245724 
data(p94):duty_free_exports(A,y):0.16024819643157234 
data(p94):export_administration_act_south_africa(A,y):-0.39340740276687197 
data(p166):handicapped_infants(A,n):0.5260961061496598 
data(p166):water_project_cost_sharing(A,y):1.7104900640240304 
data(p166):budget_resolution(A,y):1.1263687081379816 
data(p166):physician_fee_freeze(A,n):1.361313204609637 
data(p166):el_salvador_aid(A,n):-0.32688601003866186 
data(p166):religious_groups_in_schools(A,y):0.27103839947082337 
data(p166):anti_satellite_test_ban(A,y):-0.16215415794410112 
data(p166):aid_to_nicaraguan_contras(A,y):0.4145815707722019 
data(p166):mx_missile(A,y):1.7761325895345275 
data(p166):immigration(A,y):-0.7815427842281282 
data(p166):synfuels_corporation_cutback(A,y):0.13237668687887635 
data(p166):education_spending(A,n):1.205127246796202 
data(p166):superfund_right_to_sue(A,y):-0.15281112624509238 
data(p166):crime(A,n):0.14019264782913068 
data(p166):duty_free_exports(A,y):0.14180747536113145 
data(p321):handicapped_infants(A,n):0.5609343469731187 
data(p321):water_project_cost_sharing(A,y):1.7398607741495653 
data(p321):budget_resolution(A,y):1.3101779738281474 
data(p321):physician_fee_freeze(A,n):1.6888664936212827 
data(p321):el_salvador_aid(A,n):-0.33738329186449506 
data(p321):religious_groups_in_schools(A,y):0.285893896473682 
data(p321):anti_satellite_test_ban(A,n):-0.26166266762424395 
data(p321):aid_to_nicaraguan_contras(A,y):0.4145815707722019 
data(p321):mx_missile(A,y):1.6924990821851607 
data(p321):immigration(A,y):-0.773727858124034 
data(p321):synfuels_corporation_cutback(A,n):-1.2834043730299933 
data(p321):education_spending(A,n):1.1828275634201175 
data(p321):superfund_right_to_sue(A,y):-0.046208854668557515 
data(p321):crime(A,y):0.05643093710703051 
data(p321):duty_free_exports(A,n):-0.49428003634628825 
data(p321):export_administration_act_south_africa(A,y):-0.4078113613658008 
data(p42):handicapped_infants(A,y):0.2116940106905232 
data(p42):water_project_cost_sharing(A,y):1.7519716380581338 
data(p42):budget_resolution(A,y):1.0442246295088784 
data(p42):physician_fee_freeze(A,n):1.6141154836175158 
data(p42):el_salvador_aid(A,n):-0.3347270195909115 
data(p42):religious_groups_in_schools(A,n):-0.29468378313572485 
data(p42):anti_satellite_test_ban(A,y):-0.1862268909405914 
data(p42):aid_to_nicaraguan_contras(A,y):0.4094923316940241 
data(p42):mx_missile(A,y):1.7018619241109918 
data(p42):immigration(A,n):0.6672981264549177 
data(p42):synfuels_corporation_cutback(A,n):-1.278630381075654 
data(p42):education_spending(A,n):1.126104277031821 
data(p42):superfund_right_to_sue(A,n):0.4284101883320614 
data(p42):crime(A,n):0.2316895977635152 
data(p42):duty_free_exports(A,y):0.10714909581338755 
data(p268):handicapped_infants(A,y):0.05375937980685502 
data(p268):water_project_cost_sharing(A,n):-0.14158237354464695 
data(p268):budget_resolution(A,n):-0.8706807623077166 
data(p268):physician_fee_freeze(A,n):1.7988852468951317 
data(p268):el_salvador_aid(A,n):-0.31376128248279 
data(p268):religious_groups_in_schools(A,n):-0.27459911283217836 
data(p268):anti_satellite_test_ban(A,y):-0.16214022519639085 
data(p268):aid_to_nicaraguan_contras(A,y):0.4262983400402967 
data(p268):mx_missile(A,y):1.7138916075317268 
data(p268):immigration(A,y):-0.8746131034411088 
data(p268):synfuels_corporation_cutback(A,n):-1.306254160888715 
data(p268):education_spending(A,n):1.2444207042749575 
data(p268):superfund_right_to_sue(A,n):0.5047688707714477 
data(p268):crime(A,y):0.01829356599932156 
data(p268):duty_free_exports(A,n):-0.5621438996092943 
data(p268):export_administration_act_south_africa(A,y):-0.37278417712579964 
data(p160):handicapped_infants(A,n):0.5349641576180111 
data(p160):water_project_cost_sharing(A,y):1.7755560127259475 
data(p160):budget_resolution(A,y):1.0609461606514399 
data(p160):physician_fee_freeze(A,n):1.377549808221175 
data(p160):religious_groups_in_schools(A,y):0.285893896473682 
data(p160):anti_satellite_test_ban(A,y):-0.21058866873682944 
data(p160):aid_to_nicaraguan_contras(A,y):0.4145815707722019 
data(p160):mx_missile(A,y):1.7089937353682862 
data(p160):immigration(A,y):-0.8241823463718602 
data(p160):synfuels_corporation_cutback(A,y):0.21799710819077614 
data(p160):education_spending(A,n):1.2131250658587904 
data(p160):superfund_right_to_sue(A,n):0.4030993981815854 
data(p160):duty_free_exports(A,n):-0.45432513031576605 
data(p96):handicapped_infants(A,y):0.2755058660352454 
data(p96):water_project_cost_sharing(A,n):-0.15352271313148572 
data(p96):budget_resolution(A,y):1.274804713409036 
data(p96):physician_fee_freeze(A,n):1.4520149151751747 
data(p96):el_salvador_aid(A,y):-0.10287399494224583 
data(p96):religious_groups_in_schools(A,y):0.2395511424248639 
data(p96):anti_satellite_test_ban(A,n):-0.27426990755234293 
data(p96):immigration(A,n):0.5985531369669431 
data(p96):synfuels_corporation_cutback(A,y):0.2829998720436476 
data(p96):duty_free_exports(A,y):0.15813468788794724 
data(p96):export_administration_act_south_africa(A,y):-0.3784705049133685 
data(p107):handicapped_infants(A,n):0.4772041190394537 
data(p107):water_project_cost_sharing(A,y):1.8872697852878948 
data(p107):budget_resolution(A,n):-1.0843340277780256 
data(p107):physician_fee_freeze(A,y):-4.8414258216313275 
data(p107):el_salvador_aid(A,y):-0.2040834197207329 
data(p107):religious_groups_in_schools(A,y):0.20464388860477015 
data(p107):anti_satellite_test_ban(A,n):-0.304245866757893 
data(p107):aid_to_nicaraguan_contras(A,n):2.2636301563263572 
data(p107):mx_missile(A,n):0.11069018742596651 
data(p107):immigration(A,n):0.65459688036518 
data(p107):synfuels_corporation_cutback(A,n):-1.2483899347229344 
data(p107):education_spending(A,y):0.891999907242203 
data(p107):superfund_right_to_sue(A,y):-0.13623788542892287 
data(p107):crime(A,y):0.07363422010117832 
data(p107):duty_free_exports(A,n):-0.3049492355053248 
data(p107):export_administration_act_south_africa(A,y):-0.6004191789920922 
data(p93):handicapped_infants(A,y):0.10762766457965786 
data(p93):water_project_cost_sharing(A,y):1.6861073254860666 
data(p93):budget_resolution(A,y):1.0560783363644062 
data(p93):physician_fee_freeze(A,n):1.489480939769979 
data(p93):el_salvador_aid(A,n):-0.3411829646304585 
data(p93):religious_groups_in_schools(A,n):-0.28689280420602253 
data(p93):anti_satellite_test_ban(A,y):-0.1879531846622368 
data(p93):aid_to_nicaraguan_contras(A,y):0.4094923316940241 
data(p93):mx_missile(A,n):0.15837937299887628 
data(p93):immigration(A,y):-0.8706802289492864 
data(p93):synfuels_corporation_cutback(A,y):0.2335095060377432 
data(p93):education_spending(A,n):1.199692965898903 
data(p93):superfund_right_to_sue(A,n):0.39701743552695984 
data(p93):duty_free_exports(A,y):0.13850803371660966 
data(p93):export_administration_act_south_africa(A,y):-0.40223864020484107 
data(p67):handicapped_infants(A,n):0.4486474254817846 
data(p67):water_project_cost_sharing(A,y):1.9153183893047532 
data(p67):budget_resolution(A,n):-1.226135615186176 
data(p67):physician_fee_freeze(A,y):-4.691822341330705 
data(p67):el_salvador_aid(A,y):-0.15220813566716165 
data(p67):religious_groups_in_schools(A,y):0.20464388860477015 
data(p67):anti_satellite_test_ban(A,y):-0.1908975181542011 
data(p67):aid_to_nicaraguan_contras(A,n):2.207700400521568 
data(p67):mx_missile(A,n):0.10201632951361038 
data(p67):immigration(A,n):0.7376985215037483 
data(p67):synfuels_corporation_cutback(A,y):0.7210219726582718 
data(p67):education_spending(A,y):0.8776266430585894 
data(p67):superfund_right_to_sue(A,y):-0.23810395939127904 
data(p67):crime(A,y):0.07363422010117832 
data(p67):duty_free_exports(A,n):-0.28334524344564394 
data(p67):export_administration_act_south_africa(A,y):-0.6464278631982415 
data(p366):handicapped_infants(A,n):0.5155742333253407 
data(p366):water_project_cost_sharing(A,y):1.7435300180008115 
data(p366):budget_resolution(A,n):-1.1759931494277676 
data(p366):physician_fee_freeze(A,n):1.5160174678181608 
data(p366):el_salvador_aid(A,y):-0.1509210891296397 
data(p366):religious_groups_in_schools(A,y):0.27850333940809463 
data(p366):anti_satellite_test_ban(A,n):-0.3135600887368777 
data(p366):aid_to_nicaraguan_contras(A,n):2.13425564267503 
data(p366):mx_missile(A,n):0.14387665631490756 
data(p366):immigration(A,y):-0.8485989779281403 
data(p366):synfuels_corporation_cutback(A,y):0.23881937967827713 
data(p366):education_spending(A,n):1.4049387813600698 
data(p366):superfund_right_to_sue(A,y):-0.16733192589664034 
data(p366):crime(A,y):0.05643093710703051 
data(p366):duty_free_exports(A,n):-0.3308883740945433 
data(p366):export_administration_act_south_africa(A,n):-0.006193975096337633 
data(p24):handicapped_infants(A,y):0.2116940106905232 
data(p24):water_project_cost_sharing(A,y):1.717872574599333 
data(p24):budget_resolution(A,y):1.0442246295088784 
data(p24):physician_fee_freeze(A,n):1.644377714992014 
data(p24):el_salvador_aid(A,n):-0.3347270195909115 
data(p24):religious_groups_in_schools(A,n):-0.29468378313572485 
data(p24):anti_satellite_test_ban(A,y):-0.1862268909405914 
data(p24):aid_to_nicaraguan_contras(A,y):0.4094923316940241 
data(p24):mx_missile(A,y):1.691169379521778 
data(p24):immigration(A,n):0.6642737970246907 
data(p24):synfuels_corporation_cutback(A,n):-1.2770698476406215 
data(p24):education_spending(A,n):1.126104277031821 
data(p24):superfund_right_to_sue(A,n):0.4284101883320614 
data(p24):crime(A,n):0.2316895977635152 
data(p24):duty_free_exports(A,y):0.10714909581338755 
data(p24):export_administration_act_south_africa(A,y):-0.40495797385071614 
data(p324):handicapped_infants(A,y):0.1233368775543394 
data(p324):water_project_cost_sharing(A,y):1.8177560685179162 
data(p324):budget_resolution(A,y):1.321660072244144 
data(p324):physician_fee_freeze(A,n):1.6628156484895675 
data(p324):el_salvador_aid(A,y):-0.12785584211633205 
data(p324):religious_groups_in_schools(A,y):0.285893896473682 
data(p324):anti_satellite_test_ban(A,n):-0.26601398472646964 
data(p324):aid_to_nicaraguan_contras(A,y):0.4094923316940241 
data(p324):immigration(A,y):-0.8395939658976688 
data(p324):synfuels_corporation_cutback(A,n):-1.2760556559537173 
data(p324):education_spending(A,n):1.1908124205896093 
data(p324):superfund_right_to_sue(A,y):-0.04083830423473855 
data(p324):crime(A,y):0.05275130290040948 
data(p324):duty_free_exports(A,n):-0.48478906523788556 
data(p14):handicapped_infants(A,y):0.13601056441296436 
data(p14):water_project_cost_sharing(A,y):1.7968926058856447 
data(p14):budget_resolution(A,y):1.1528725925643428 
data(p14):physician_fee_freeze(A,n):1.4743831672023942 
data(p14):el_salvador_aid(A,n):-0.3188378865524565 
data(p14):religious_groups_in_schools(A,y):0.27103839947082337 
data(p14):anti_satellite_test_ban(A,y):-0.17678176686729166 
data(p14):aid_to_nicaraguan_contras(A,y):0.4094923316940241 
data(p14):immigration(A,y):-0.8872475652741377 
data(p14):synfuels_corporation_cutback(A,y):0.23345627231414431 
data(p14):superfund_right_to_sue(A,n):0.4115420397509821 
data(p14):crime(A,n):0.16494258315720509 
data(p14):duty_free_exports(A,y):0.14399228903371195 
data(p363):handicapped_infants(A,y):0.09470893943211262 
data(p363):water_project_cost_sharing(A,y):1.8143101970725335 
data(p363):budget_resolution(A,y):1.2800090775929147 
data(p363):physician_fee_freeze(A,n):1.4720360433377342 
data(p363):el_salvador_aid(A,n):-0.3464771059901908 
data(p363):religious_groups_in_schools(A,y):0.2557527148110095 
data(p363):anti_satellite_test_ban(A,y):-0.194940144781278 
data(p363):aid_to_nicaraguan_contras(A,y):0.4037274861658461 
data(p363):mx_missile(A,y):1.6601739038935717 
data(p363):immigration(A,y):-0.8617591101846553 
data(p363):synfuels_corporation_cutback(A,y):0.18815355035902545 
data(p363):education_spending(A,y):0.8229685562004448 
data(p363):superfund_right_to_sue(A,y):-0.16193835372549212 
data(p363):crime(A,n):0.1524722156926753 
data(p363):duty_free_exports(A,n):-0.4883843128993358 
data(p363):export_administration_act_south_africa(A,y):-0.41198318120968297 
data(p62):handicapped_infants(A,n):0.48044566784389164 
data(p62):water_project_cost_sharing(A,y):1.9302686792963242 
data(p62):budget_resolution(A,n):-1.0864953810927032 
data(p62):physician_fee_freeze(A,y):-4.674303739329006 
data(p62):el_salvador_aid(A,y):-0.2040834197207329 
data(p62):religious_groups_in_schools(A,y):0.20464388860477015 
data(p62):anti_satellite_test_ban(A,n):-0.304245866757893 
data(p62):aid_to_nicaraguan_contras(A,n):2.281090006494566 
data(p62):mx_missile(A,n):0.11069018742596651 
data(p62):immigration(A,n):0.656272814698797 
data(p62):synfuels_corporation_cutback(A,n):-1.270532313714763 
data(p62):education_spending(A,y):0.891999907242203 
data(p62):superfund_right_to_sue(A,y):-0.118869064919256 
data(p62):crime(A,y):0.07363422010117832 
data(p62):duty_free_exports(A,n):-0.3053037672343717 
data(p62):export_administration_act_south_africa(A,n):-0.019059477946415618 
data(p187):handicapped_infants(A,n):0.5234998181071172 
data(p187):water_project_cost_sharing(A,y):1.6559457284465806 
data(p187):budget_resolution(A,y):1.0240955500662785 
data(p187):physician_fee_freeze(A,n):1.4333841247971686 
data(p187):el_salvador_aid(A,n):-0.32919454910575535 
data(p187):religious_groups_in_schools(A,n):-0.28689280420602253 
data(p187):anti_satellite_test_ban(A,y):-0.173280077834873 
data(p187):aid_to_nicaraguan_contras(A,y):0.4145815707722019 
data(p187):mx_missile(A,y):1.738985764404215 
data(p187):immigration(A,y):-0.8147288120733146 
data(p187):synfuels_corporation_cutback(A,y):0.18263532525189982 
data(p187):education_spending(A,n):1.1543979856252233 
data(p187):superfund_right_to_sue(A,n):0.3893050263578742 
data(p187):crime(A,n):0.15718422936834797 
data(p187):duty_free_exports(A,y):0.13616439933780375 
data(p187):export_administration_act_south_africa(A,y):-0.41164301471646664 
data(p175):handicapped_infants(A,y):0.2116940106905232 
