data(p87):a1(A,1):-0.29557053869733513 
data(p87):a60(A,0):-0.0006190920080992434 
data(p56):a1(A,1):-0.25797346633118806 
data(p56):a2(A,0):0.0364105716382911 
data(p56):a3(A,0):0.0638057937358454 
data(p56):a4(A,1):-0.3947913918996679 
data(p56):a5(A,1):0.05178634319663927 
data(p56):a6(A,0):-0.19494257275279897 
data(p56):a7(A,1):0.012840335805950807 
data(p56):a8(A,1):0.2682952074303814 
data(p56):a9(A,1):-0.3191745261685257 
data(p56):a10(A,1):-0.705805283895407 
data(p56):a11(A,1):-0.3226239843080922 
data(p56):a12(A,1):-0.5352262652792846 
data(p56):a13(A,1):-0.12318038283538593 
data(p56):a14(A,1):-0.1947632991345732 
data(p56):a15(A,1):0.5493262448466856 
data(p56):a16(A,1):-0.015215332560021834 
data(p56):a17(A,1):0.00040551569194513916 
data(p56):a18(A,1):0.10392450145157806 
data(p56):a19(A,1):0.2037948632661684 
data(p56):a20(A,1):-0.030039992505702783 
data(p56):a21(A,1):-1.0840084942292638 
data(p56):a22(A,1):0.06602638263999594 
data(p56):a23(A,1):-0.9320648073169748 
data(p56):a24(A,2):0.32654414462325165 
data(p56):a25(A,3):0.002831033364357386 
data(p56):a26(A,3):-0.08051974064637986 
data(p56):a27(A,3):0.39101794244166915 
data(p56):a28(A,3):0.4026280464583679 
data(p56):a29(A,2):0.20015704811315624 
data(p56):a30(A,3):0.06583789156571809 
data(p56):a31(A,3):-0.3012599688775104 
data(p56):a32(A,2):-0.15837476422082303 
data(p56):a33(A,1):-0.08462050206473071 
data(p56):a34(A,1):0.08817559107850963 
data(p56):a35(A,0):0.47539027052104915 
data(p56):a36(A,1):0.6569032639390843 
data(p56):a37(A,1):0.1290365082387366 
data(p56):a38(A,1):-0.3193685199738916 
data(p56):a39(A,2):0.2901711373109013 
data(p56):a40(A,1):0.21948060462295307 
data(p56):a41(A,0):-0.31701197084378624 
data(p56):a42(A,2):0.15174179560473244 
data(p56):a43(A,1):-0.26811745182164126 
data(p56):a44(A,1):-0.33039928414588865 
data(p56):a45(A,1):-0.32425987278808854 
data(p56):a46(A,1):0.08837228938231281 
data(p56):a47(A,2):-0.12539959455048827 
data(p56):a48(A,1):-0.09769235516591215 
data(p56):a49(A,2):-0.028077040137500345 
data(p56):a50(A,2):-0.24759911280503474 
data(p56):a51(A,0):-1.223023451689019 
data(p56):a52(A,1):-0.6949457792347791 
data(p56):a53(A,0):-0.009718990118886295 
data(p56):a54(A,1):0.13488748891169702 
data(p56):a55(A,1):0.5363464312928216 
data(p56):a56(A,0):0.04423612152632106 
data(p56):a57(A,1):0.12203076842142047 
data(p56):a58(A,0):-0.3201557788288891 
data(p56):a59(A,0):0.006637976210582572 
data(p56):a60(A,0):0.01777311963241632 
data(p74):a1(A,1):-0.250943116765594 
data(p74):a2(A,1):0.037372433582616355 
data(p74):a3(A,0):0.07562791021849025 
data(p74):a4(A,0):-0.35087331752257583 
data(p74):a5(A,0):-0.40255713082668076 
data(p74):a6(A,0):-0.17332452608061266 
data(p74):a7(A,0):0.006165297409633709 
data(p74):a8(A,1):0.2847303492997131 
data(p74):a9(A,0):-1.0683329445334615 
data(p74):a10(A,0):-0.7661831980205671 
data(p74):a11(A,0):-0.39921050126896157 
data(p74):a12(A,0):-0.7015152532667135 
data(p74):a13(A,0):-0.2874837787921219 
data(p74):a14(A,0):-0.17295640494380748 
data(p74):a15(A,0):0.41698246651177345 
data(p74):a16(A,0):-0.05195532941041684 
data(p74):a17(A,0):0.021644018561771054 
data(p74):a18(A,0):0.17222520639240893 
data(p74):a19(A,1):0.200686659248619 
data(p74):a20(A,0):-0.0564500523699322 
data(p74):a21(A,0):-1.1454387606850913 
data(p74):a22(A,1):0.04642498449309842 
data(p74):a23(A,2):0.6270813413261699 
data(p74):a24(A,3):0.29561892256061245 
data(p74):a25(A,3):0.059419435972090505 
data(p74):a26(A,1):-0.037651003896641326 
data(p74):a27(A,1):-0.5458934199001789 
data(p74):a28(A,1):-0.3627511297771356 
data(p74):a29(A,1):-0.4930326662554526 
data(p74):a30(A,0):-0.15773695353850684 
data(p74):a31(A,0):0.27085131838312704 
data(p74):a32(A,0):0.18671200077648117 
data(p74):a33(A,1):-0.07507051479600592 
data(p74):a34(A,1):0.1034599385243906 
data(p74):a35(A,1):0.3967559628869048 
data(p74):a36(A,1):0.6760664564333334 
data(p74):a37(A,2):0.12224934666648993 
data(p74):a38(A,1):-0.3689588369725978 
data(p74):a39(A,2):0.26752566181177234 
data(p74):a40(A,2):-0.1864727502793575 
data(p74):a41(A,2):0.2851121761368525 
data(p74):a42(A,1):-0.14795915309127422 
data(p74):a43(A,0):-0.2816506582879442 
data(p74):a44(A,2):0.26495273872078223 
data(p74):a45(A,2):-0.015117349991091312 
data(p74):a46(A,2):0.15591099952269857 
data(p74):a47(A,1):-0.0559272357084975 
data(p74):a48(A,1):-0.08186556759691228 
data(p74):a49(A,1):0.09639146147476366 
data(p74):a50(A,0):0.36940245851227776 
data(p74):a51(A,0):-1.1253209514875533 
data(p74):a52(A,0):-1.1793944772661873 
data(p74):a53(A,1):0.027036397550784748 
data(p74):a54(A,2):-0.3013026427649874 
data(p74):a55(A,0):0.6927167720324675 
data(p74):a56(A,0):0.10082962757174578 
data(p74):a57(A,0):0.09975027412269662 
data(p74):a58(A,2):0.18724688007546847 
data(p74):a59(A,1):-0.1257441818904923 
data(p74):a60(A,1):0.015794748598457656 
data(p96):a1(A,2):0.22099894991041788 
data(p96):a2(A,2):-0.10415069765247593 
data(p96):a3(A,3):-0.08639042359202644 
data(p96):a4(A,3):0.5795438607223034 
data(p96):a5(A,1):-0.008702805227531819 
data(p96):a6(A,2):0.15232409002592623 
data(p96):a7(A,0):0.015094749189378587 
data(p96):a8(A,0):0.3189578704704367 
data(p96):a9(A,1):-0.3950601444203244 
data(p96):a10(A,1):-0.5636757341160041 
data(p96):a11(A,0):-0.3740328608937081 
data(p96):a12(A,0):-0.6499592720227191 
data(p96):a13(A,0):-0.38312168349751513 
data(p96):a14(A,0):-0.23430740258537647 
data(p96):a15(A,0):0.45650406315349124 
data(p96):a16(A,1):-0.07702730495585201 
data(p96):a17(A,0):0.030607817495782404 
data(p96):a18(A,1):0.10315569358791069 
data(p96):a19(A,1):0.20328553931215385 
data(p96):a20(A,1):-0.07285999418086583 
data(p96):a21(A,0):-0.9182731700063873 
data(p96):a22(A,0):0.1634090639246859 
data(p96):a23(A,0):-0.8444415937712506 
data(p96):a24(A,0):-0.3368699042388192 
data(p96):a25(A,0):-0.011490465768992568 
data(p96):a26(A,0):0.1866651503993676 
data(p96):a27(A,0):0.08480907202880072 
data(p96):a28(A,2):0.09562678528876838 
data(p96):a29(A,3):0.3483714475315337 
data(p96):a30(A,3):0.08326740667486232 
data(p96):a31(A,1):0.19859269980946911 
data(p96):a32(A,0):0.19217493914436623 
data(p96):a33(A,2):0.12468408987847632 
data(p96):a34(A,3):-0.11050490114621368 
data(p96):a35(A,2):-0.4419690890464683 
data(p96):a36(A,2):-0.5026422749147145 
data(p96):a37(A,3):-0.28085028573594634 
data(p96):a38(A,3):0.3567826344769728 
data(p96):a39(A,3):0.2297111489899448 
data(p96):a40(A,2):-0.19900246742548966 
data(p96):a41(A,1):-0.23805540137991257 
data(p96):a42(A,0):-0.15256397650796422 
data(p96):a43(A,0):-0.2277429618343031 
data(p96):a44(A,0):-0.46319420312851933 
data(p96):a45(A,0):-0.2450089839623141 
data(p96):a46(A,0):-0.6320006488572495 
data(p96):a47(A,0):-0.08655097204680386 
data(p96):a48(A,0):-0.8795891241420442 
data(p96):a49(A,0):-0.3258086377209864 
data(p96):a50(A,0):0.2617390471041635 
data(p96):a51(A,0):-1.0073403976396393 
data(p96):a52(A,0):-1.0022417381713888 
data(p96):a53(A,3):-0.004907876207069601 
data(p96):a54(A,3):-0.0034274939303620003 
data(p96):a55(A,1):0.499447365621761 
data(p96):a56(A,3):0.11338235041206915 
data(p96):a57(A,3):-0.0914115168949443 
data(p96):a58(A,2):0.1782542286404 
data(p96):a59(A,3):0.10493714350931341 
data(p96):a60(A,3):0.15082641696698815 
data(p31):a1(A,2):0.235939188204185 
data(p31):a2(A,1):0.026570356919160057 
data(p31):a3(A,1):0.06236386953976769 
data(p31):a4(A,2):0.21575103559916153 
data(p31):a5(A,0):-0.4359128326991286 
data(p31):a6(A,0):-0.19390393023162072 
data(p31):a7(A,1):0.005690661607517182 
data(p31):a8(A,0):0.3167127220464855 
data(p31):a9(A,0):-1.045388640498048 
data(p31):a10(A,0):-0.6604036707569649 
data(p31):a11(A,1):-0.284837863096486 
data(p31):a12(A,1):-0.5027289900244727 
data(p31):a13(A,2):0.26591166970025104 
data(p31):a14(A,1):-0.2153277797030893 
data(p31):a15(A,2):0.08015518219432513 
data(p31):a16(A,2):0.271540962701644 
data(p31):a17(A,1):-0.00010450368523691076 
data(p31):a18(A,1):0.10610788019002229 
data(p31):a19(A,2):-0.33542294366048325 
data(p31):a20(A,2):0.016809301631959653 
data(p31):a21(A,1):-0.9050471720225689 
data(p31):a22(A,1):0.0574768698789806 
data(p31):a23(A,1):-0.8352151905913489 
data(p31):a24(A,2):0.35136368396842693 
data(p31):a25(A,2):-0.031000660334017084 
data(p31):a26(A,3):-0.10464655818260246 
data(p31):a27(A,2):0.18518244254097072 
data(p31):a28(A,2):0.14529651690072548 
data(p31):a29(A,3):0.4238332310594979 
data(p31):a30(A,3):0.10097136023040892 
data(p31):a31(A,2):-0.3253148513335898 
data(p31):a32(A,0):0.21022653586089968 
data(p31):a33(A,1):-0.06592648417918297 
data(p31):a34(A,0):0.08625120877267621 
data(p31):a35(A,1):0.42872876910275487 
data(p31):a36(A,2):-0.4982048055349713 
data(p31):a37(A,2):0.12230709631735326 
data(p31):a38(A,0):-0.3266156054687577 
data(p31):a39(A,0):-0.3854501029827567 
data(p31):a40(A,0):0.294472537434664 
data(p31):a41(A,2):0.2945559056681103 
data(p31):a42(A,2):0.15174179560473244 
data(p31):a43(A,2):0.06790124022112416 
data(p31):a44(A,0):-0.46293391731559186 
data(p31):a45(A,1):-0.33893960840796444 
data(p31):a46(A,2):0.20332395630639138 
data(p31):a47(A,1):-0.08679648818129891 
data(p31):a48(A,1):-0.04035761172597654 
data(p31):a49(A,0):-0.24695496628902225 
data(p31):a50(A,2):-0.23565207840387872 
data(p31):a51(A,0):-1.264565292865875 
data(p31):a52(A,2):0.8055455266412442 
data(p31):a53(A,2):-0.019135482440847177 
data(p31):a54(A,1):0.1334216094055876 
data(p31):a55(A,2):-0.6658774394050462 
data(p31):a56(A,2):-0.06364341265507918 
data(p31):a57(A,1):0.13314259604183415 
data(p31):a58(A,0):-0.2626958929033165 
data(p31):a59(A,2):-0.019896524336793724 
data(p31):a60(A,0):-0.0030835336292052828 
data(p1):a1(A,1):-0.2756606546671993 
data(p1):a2(A,2):-0.10402480990836889 
data(p1):a3(A,2):-0.09744421651932839 
data(p1):a4(A,0):-0.5286237849490024 
data(p1):a5(A,2):0.1724634159834402 
data(p1):a6(A,2):0.15403749569434927 
data(p1):a7(A,2):0.05906462385127024 
data(p1):a8(A,2):-0.2459525351818218 
data(p1):a9(A,3):0.768478808453435 
data(p1):a10(A,2):0.6733487957391044 
data(p1):a11(A,1):-0.28184139655396484 
data(p1):a12(A,1):-0.48456748252611936 
data(p1):a13(A,1):-0.020620883950078002 
data(p1):a14(A,0):-0.21486535975207477 
data(p1):a15(A,0):0.42302408455827106 
data(p1):a16(A,1):0.0020364231028743 
data(p1):a17(A,2):0.048386805950545037 
data(p1):a18(A,1):0.10878283388047288 
data(p1):a19(A,2):-0.3504586761052197 
data(p1):a20(A,1):-0.07467663438241484 
data(p1):a21(A,1):-1.235707824373516 
data(p1):a22(A,1):0.08071199315262362 
data(p1):a23(A,0):-0.9907058626387678 
data(p1):a24(A,1):-0.3124391557905417 
data(p1):a25(A,1):-0.02785505214423402 
data(p1):a26(A,1):0.006008464759728867 
data(p1):a27(A,1):-0.552898889328812 
data(p1):a28(A,2):0.16011358464459194 
data(p1):a29(A,1):-0.4781942257157641 
data(p1):a30(A,0):-0.18401251765706808 
data(p1):a31(A,0):0.3138763774946904 
data(p1):a32(A,0):0.12844501777677764 
data(p1):a33(A,2):0.15728114694380835 
data(p1):a34(A,3):-0.09616685887535083 
data(p1):a35(A,3):-0.4594346963058127 
data(p1):a36(A,3):-1.41867660884804 
data(p1):a37(A,3):-0.4467379150884723 
data(p1):a38(A,3):0.3264171187256636 
data(p1):a39(A,3):0.22678306330349088 
data(p1):a40(A,1):0.2746764528951229 
data(p1):a41(A,0):-0.24757916314445583 
data(p1):a42(A,2):0.1441122240407955 
data(p1):a43(A,2):0.012186243537502462 
data(p1):a44(A,3):0.5096552001449752 
data(p1):a45(A,3):0.5483646948229551 
data(p1):a46(A,2):0.061413255974942245 
data(p1):a47(A,2):-0.09943850109716602 
data(p1):a48(A,3):0.4718098423773683 
data(p1):a49(A,1):0.09738684018043751 
data(p1):a50(A,3):-0.3685616402328913 
data(p1):a51(A,3):0.8954829480669114 
data(p1):a52(A,0):-1.2410843425217302 
data(p1):a53(A,1):0.02323963788233197 
data(p1):a54(A,3):-0.07727841211969433 
data(p1):a55(A,1):0.5197245447451669 
data(p1):a56(A,3):0.17839374191541 
data(p1):a57(A,3):-0.07908003236382614 
data(p1):a58(A,2):0.15098346101278967 
data(p1):a59(A,2):-0.006384039411427834 
data(p1):a60(A,1):-8.629647789504778e-05 
data(p136):a1(A,0):-0.5046812715278923 
data(p136):a2(A,3):-0.04907208333046388 
data(p136):a3(A,3):-0.0631725064453406 
data(p136):a4(A,3):0.5513339705135554 
data(p136):a5(A,1):0.06561421177274146 
data(p136):a6(A,2):0.12020414132554329 
data(p136):a7(A,3):-0.07246381903966628 
data(p136):a8(A,3):-0.3829994322489296 
data(p136):a9(A,3):0.7214157597609254 
data(p136):a10(A,3):0.517459735174368 
data(p136):a11(A,3):0.34233095146031134 
data(p136):a12(A,0):-0.5713876186971845 
data(p136):a13(A,2):0.2145140868695439 
data(p136):a14(A,3):0.09384102383290961 
data(p136):a15(A,2):0.040543010279195615 
data(p136):a16(A,2):0.2905818829381432 
data(p136):a17(A,0):0.14537127207285447 
data(p136):a18(A,0):0.16365506252088655 
data(p136):a19(A,0):0.3053097237615914 
data(p136):a20(A,3):0.05189889167376132 
data(p136):a21(A,3):1.4942174856669659 
data(p136):a22(A,0):0.11368324309472082 
data(p136):a23(A,0):-0.7773021427156397 
data(p136):a24(A,0):-0.3463285675629448 
data(p136):a25(A,0):0.08123062996041841 
data(p136):a26(A,0):0.21419853563370161 
data(p136):a27(A,0):0.029695605952393636 
data(p136):a28(A,1):-0.2623064716370758 
data(p136):a29(A,0):-0.2099015244400937 
data(p136):a30(A,2):0.12949687266021553 
data(p136):a31(A,0):0.3509352224806691 
data(p136):a32(A,0):0.1654551706869777 
data(p136):a33(A,3):0.012642551353615321 
data(p136):a34(A,3):-0.09047888483330581 
data(p136):a35(A,3):-0.3402354515609014 
data(p136):a36(A,3):-1.3680545847249195 
data(p136):a37(A,3):-0.4991120843197969 
data(p136):a38(A,3):0.38220681536067735 
data(p136):a39(A,3):0.22014174936772293 
data(p136):a40(A,3):-0.3543689667914883 
data(p136):a41(A,3):0.17249443081420854 
data(p136):a42(A,2):0.12803608495712918 
data(p136):a43(A,1):-0.2664565339926346 
data(p136):a44(A,1):-0.28557645741107046 
data(p136):a45(A,3):0.5606805110766497 
data(p136):a46(A,2):0.0863117106855938 
data(p136):a47(A,3):0.10212752559293474 
data(p136):a48(A,3):0.44129468064117094 
data(p136):a49(A,3):0.138033105544312 
data(p136):a50(A,2):-0.1904004380285335 
data(p136):a51(A,3):0.9777071687824058 
data(p136):a52(A,3):0.8444834553238821 
data(p136):a53(A,3):0.047253734118848735 
data(p136):a54(A,3):-0.08299750582755486 
data(p136):a55(A,3):-0.5163222954269342 
data(p136):a56(A,3):0.2115912141801028 
data(p136):a57(A,3):-0.08506057493826802 
data(p136):a58(A,3):0.22180179130877303 
data(p136):a59(A,3):0.06627152455774132 
data(p136):a60(A,3):0.19688383672741197 
data(p137):a1(A,3):0.39980433396640797 
data(p137):a2(A,3):-0.06183680467255336 
data(p137):a3(A,3):-0.09106117538202912 
data(p137):a4(A,3):0.5575345883147381 
data(p137):a5(A,3):0.20845246125307632 
data(p137):a6(A,3):0.09915294418615554 
data(p137):a7(A,3):-0.06550570959123389 
data(p137):a8(A,3):-0.36191479178506625 
data(p137):a9(A,3):0.7481136897974232 
data(p137):a10(A,3):0.5864402439351188 
data(p137):a11(A,3):0.41339944297873354 
data(p137):a12(A,1):-0.3838108866237834 
data(p137):a13(A,0):-0.29334281651950606 
data(p137):a14(A,2):0.3600377357072271 
data(p137):a15(A,3):-0.9301711224961421 
data(p137):a16(A,2):0.24571086104459974 
data(p137):a17(A,0):0.1270884929811468 
data(p137):a18(A,0):0.1774448896273549 
data(p137):a19(A,1):0.28306704738175403 
data(p137):a20(A,3):0.05189889167376132 
data(p137):a21(A,3):1.459230019798773 
data(p137):a22(A,1):0.14207441882409239 
data(p137):a23(A,0):-0.8391580407470665 
data(p137):a24(A,0):-0.36535482097709954 
data(p137):a25(A,0):0.012279109363044119 
data(p137):a26(A,1):0.018079282297540654 
data(p137):a27(A,0):0.050628936723677735 
data(p137):a28(A,1):-0.27246478344246017 
data(p137):a29(A,1):-0.37271371401104403 
data(p137):a30(A,3):0.10700330605183175 
data(p137):a31(A,2):-0.35318053365051677 
data(p137):a32(A,2):-0.18182208469813718 
data(p137):a33(A,2):0.14197798146293547 
data(p137):a34(A,3):-0.07375507685874584 
data(p137):a35(A,3):-0.3633374548660477 
data(p137):a36(A,3):-1.233663626685728 
data(p137):a37(A,3):-0.44296596521292836 
data(p137):a38(A,3):0.363426242103549 
data(p137):a39(A,3):0.216764297698357 
data(p137):a40(A,3):-0.33880821656990623 
data(p137):a41(A,2):0.21185856254318267 
data(p137):a42(A,3):0.12803608495712918 
data(p137):a43(A,3):0.31689680573227763 
data(p137):a44(A,3):0.5009937261595722 
data(p137):a45(A,3):0.6452765579839372 
data(p137):a46(A,3):0.43766832717475745 
data(p137):a47(A,1):-0.025740793056661562 
data(p137):a48(A,2):0.40054206557334116 
data(p137):a49(A,1):0.13276468218981016 
data(p137):a50(A,1):0.2066653835085533 
data(p137):a51(A,2):0.947163207975206 
data(p137):a52(A,3):0.8504580214421843 
data(p137):a53(A,3):-0.004392139216468463 
data(p137):a54(A,1):0.15002825213916654 
data(p137):a55(A,3):-0.5153825799881244 
data(p137):a56(A,3):0.21300519680842117 
data(p137):a57(A,2):-0.08899550090963557 
data(p137):a58(A,3):0.21648703935795505 
data(p137):a59(A,3):0.05006700780579916 
data(p137):a60(A,3):0.1876643291296829 
data(p176):a1(A,2):0.28586751247575076 
data(p176):a2(A,0):0.0946346698439874 
data(p176):a3(A,0):0.10337331180251666 
data(p176):a4(A,0):-0.320600851153609 
data(p176):a5(A,1):0.02748076470658262 
data(p176):a6(A,2):0.15931816425604867 
data(p176):a7(A,2):0.06934591392468688 
data(p176):a8(A,1):0.2893132005864123 
data(p176):a9(A,3):0.7621841908636409 
data(p176):a10(A,3):0.6144615717225899 
data(p176):a11(A,3):0.35487484836365113 
data(p176):a12(A,3):0.5606426333983756 
data(p176):a13(A,3):0.1420527314296086 
data(p176):a14(A,3):0.0532044799277041 
data(p176):a15(A,2):0.15717133868191896 
data(p176):a16(A,1):0.029152541942113627 
data(p176):a17(A,2):0.0654965526554591 
data(p176):a18(A,1):0.10180246182796256 
data(p176):a19(A,2):-0.31314025715358257 
data(p176):a20(A,2):0.093120832782819 
data(p176):a21(A,2):0.8980553684177272 
data(p176):a22(A,2):-0.10514155773734278 
data(p176):a23(A,2):0.749486155833157 
data(p176):a24(A,2):0.3457247241696108 
data(p176):a25(A,3):0.026216264127266947 
data(p176):a26(A,3):-0.06980588247814812 
data(p176):a27(A,3):0.3847210195484858 
data(p176):a28(A,2):0.15234947902693977 
data(p176):a29(A,1):-0.47883181086713233 
data(p176):a30(A,0):-0.13219097509366215 
data(p176):a31(A,1):0.235945895381675 
data(p176):a32(A,2):-0.15843804256347338 
data(p176):a33(A,2):0.1775655407251813 
data(p176):a34(A,1):0.08544826636690879 
data(p176):a35(A,0):0.4889660554008864 
data(p176):a36(A,1):0.7447926815851651 
data(p176):a37(A,2):0.12859920345226608 
data(p176):a38(A,2):0.32534217970158785 
data(p176):a39(A,2):0.29713873554891596 
data(p176):a40(A,1):0.3473044649045474 
data(p176):a41(A,0):-0.2752181843064429 
data(p176):a42(A,1):-0.13666728569569692 
data(p176):a43(A,3):0.3764256821724579 
data(p176):a44(A,3):0.5256631297399921 
data(p176):a45(A,3):0.6244594089736271 
data(p176):a46(A,3):0.4222531433169443 
data(p176):a47(A,2):-0.019447053128479674 
data(p176):a48(A,1):-0.008055720533428047 
data(p176):a49(A,0):-0.23376740506579152 
data(p176):a50(A,0):0.35977403146770887 
data(p176):a51(A,0):-1.2067778489045884 
data(p176):a52(A,0):-0.9911647342384847 
data(p176):a53(A,2):-0.03255583590667687 
data(p176):a54(A,1):0.16853776826603112 
data(p176):a55(A,0):0.7135945027648157 
data(p176):a56(A,1):-0.14422073045735045 
data(p176):a57(A,0):0.1126250103493096 
data(p176):a58(A,0):-0.27933438563927065 
data(p176):a59(A,2):-0.016513013101091413 
data(p176):a60(A,1):-0.02561533143253359 
data(p98):a1(A,3):0.4027633383645514 
data(p98):a2(A,1):0.08238400959227186 
data(p98):a3(A,3):-0.0317624083631853 
data(p98):a4(A,3):0.6987625621396762 
data(p98):a5(A,3):0.21973376086494864 
data(p98):a6(A,3):0.1409923179900428 
data(p98):a7(A,3):-0.07780041337813444 
data(p98):a8(A,0):0.3572811080675551 
data(p98):a9(A,1):-0.3261300447472899 
data(p98):a10(A,2):0.6761220733924649 
data(p98):a11(A,0):-0.40998766919976265 
data(p98):a12(A,2):0.5146847673554789 
data(p98):a13(A,1):0.02917302580497424 
data(p98):a14(A,2):0.33299584164931684 
data(p98):a15(A,2):0.06963460738759533 
data(p98):a16(A,2):0.2223541887895381 
data(p98):a17(A,1):0.06209152061797979 
data(p98):a18(A,1):0.14421557109950925 
data(p98):a19(A,0):0.315352967379825 
data(p98):a20(A,0):-0.05077355193926456 
data(p98):a21(A,0):-0.9428754504456021 
data(p98):a22(A,0):0.1531990164928526 
data(p98):a23(A,0):-0.7936144932910892 
data(p98):a24(A,1):-0.3205704249511426 
data(p98):a25(A,0):0.007053140012784681 
data(p98):a26(A,0):0.1600817436656159 
data(p98):a27(A,1):-0.535373214326899 
data(p98):a28(A,0):-0.14747371738845522 
data(p98):a29(A,0):-0.26833865933770157 
data(p98):a30(A,0):-0.1482926630415141 
data(p98):a31(A,1):0.2168475241882953 
data(p98):a32(A,2):-0.18470226355351319 
data(p98):a33(A,3):-0.0045471251205493 
data(p98):a34(A,2):-0.09871015793910769 
data(p98):a35(A,3):-0.38004437552301834 
data(p98):a36(A,3):-1.3290398004162 
data(p98):a37(A,3):-0.41762228194128265 
data(p98):a38(A,3):0.32384895681302245 
data(p98):a39(A,3):0.28006187531442117 
data(p98):a40(A,3):-0.3014641478305704 
data(p98):a41(A,3):0.19735840671412577 
data(p98):a42(A,3):0.13060659959463325 
data(p98):a43(A,3):0.3665740927923283 
data(p98):a44(A,3):0.4888543084899245 
data(p98):a45(A,2):-0.0027092713810612885 
data(p98):a46(A,3):0.4295489787939346 
data(p98):a47(A,3):0.21077307283334584 
data(p98):a48(A,3):0.5636616574406568 
data(p98):a49(A,3):0.15825044414861814 
data(p98):a50(A,2):-0.22308836666681395 
data(p98):a51(A,3):1.0457345324194844 
data(p98):a52(A,1):-0.46379744011486806 
data(p98):a53(A,2):-0.0014579718575808095 
data(p98):a54(A,3):-0.0241365551831225 
data(p98):a55(A,1):0.5778412321553631 
data(p98):a56(A,3):0.19968799828766684 
data(p98):a57(A,3):-0.08474776133993907 
data(p98):a58(A,3):0.23001257187247842 
data(p98):a59(A,3):0.05539401212870941 
data(p98):a60(A,3):0.17614078850528536 
data(p109):a1(A,3):0.4018200274787768 
data(p109):a2(A,2):-0.11928187381192905 
data(p109):a3(A,2):0.000587842202597474 
data(p109):a4(A,1):-0.29723293247001376 
data(p109):a5(A,3):0.21837594613155653 
data(p109):a6(A,1):-0.10377596007825786 
data(p109):a7(A,1):0.00041028725603238676 
data(p109):a8(A,0):0.30076655062407776 
data(p109):a9(A,1):-0.38410341968460915 
data(p109):a10(A,0):-0.4102435841308629 
data(p109):a11(A,1):-0.1874423696171285 
data(p109):a12(A,1):-0.44404129426655187 
data(p109):a13(A,1):-0.007391809168884646 
data(p109):a14(A,2):0.29673013579197915 
data(p109):a15(A,2):0.15755363902278913 
data(p109):a16(A,2):0.26375890652516304 
data(p109):a17(A,3):-0.04288482668195145 
data(p109):a18(A,3):-0.10813468575379087 
data(p109):a19(A,3):-0.22996286156912174 
data(p109):a20(A,3):0.07277562349469804 
data(p109):a21(A,3):1.9029785503845191 
data(p109):a22(A,3):-0.1279500070076538 
data(p109):a23(A,3):1.4257308012640786 
