id,cap_shape,cap_surface,cap_color,bruises,odor,gill_attachment,gill_spacing,gill_size,gill_color,stalk_shape,stalk_root,stalk_surface_above_ring,stalk_surface_below_ring,stalk_color_above_ring,stalk_color_below_ring,veil_type,veil_color,ring_number,ring_type,spore_print_color,population,habitat,label
26,f,s,w,t,p,f,c,n,n,e,e,s,s,w,w,p,w,o,p,n,v,g,p
27,x,y,y,t,a,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,n,m,e
28,x,y,w,t,l,f,c,b,w,e,c,s,s,w,w,p,w,o,p,n,n,m,e
29,f,f,n,f,n,f,c,n,k,e,e,s,s,w,w,p,w,o,p,k,y,u,e
30,x,s,y,t,a,f,w,n,n,t,b,s,s,w,w,p,w,o,p,n,v,d,e
31,b,s,y,t,l,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,n,m,e
32,x,y,w,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,n,s,u,p
33,x,y,y,t,l,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,n,m,e
34,x,y,n,t,l,f,c,b,p,e,r,s,y,w,w,p,w,o,p,n,y,p,e
35,b,y,y,t,l,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,s,m,e
36,x,f,y,t,l,f,w,n,w,t,b,s,s,w,w,p,w,o,p,n,v,d,e
37,s,f,g,f,n,f,c,n,k,e,e,s,s,w,w,p,w,o,p,k,v,u,e
38,x,y,n,t,p,f,c,n,w,e,e,s,s,w,w,p,w,o,p,n,s,u,p
39,x,f,y,t,a,f,w,n,p,t,b,s,s,w,w,p,w,o,p,n,v,d,e
40,b,s,y,t,l,f,c,b,k,e,c,s,s,w,w,p,w,o,p,k,s,m,e
41,b,y,y,t,a,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,s,g,e
42,x,y,y,t,l,f,c,b,n,e,r,s,y,w,w,p,w,o,p,k,y,p,e
43,x,f,n,f,n,f,c,n,g,e,e,s,s,w,w,p,w,o,p,k,y,u,e
44,x,y,w,t,p,f,c,n,p,e,e,s,s,w,w,p,w,o,p,n,v,g,p
45,x,s,y,t,a,f,c,b,w,e,c,s,s,w,w,p,w,o,p,k,n,m,e
46,x,y,w,t,a,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,n,g,e
47,x,y,y,t,l,f,c,b,k,e,c,s,s,w,w,p,w,o,p,k,s,m,e
48,x,s,w,t,l,f,c,b,w,e,c,s,s,w,w,p,w,o,p,n,n,m,e
49,x,y,y,t,l,f,c,b,n,e,r,s,y,w,w,p,w,o,p,n,s,p,e
50,f,y,y,t,l,f,c,b,w,e,r,s,y,w,w,p,w,o,p,k,s,p,e
51,x,y,n,t,a,f,c,b,w,e,r,s,y,w,w,p,w,o,p,k,s,g,e
52,x,s,w,t,l,f,c,b,k,e,c,s,s,w,w,p,w,o,p,k,s,g,e
53,b,s,w,t,l,f,c,b,k,e,c,s,s,w,w,p,w,o,p,n,n,m,e
54,x,y,n,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,n,v,u,p
55,x,s,w,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,k,v,u,p
56,b,y,y,t,a,f,c,b,w,e,c,s,s,w,w,p,w,o,p,k,s,m,e
57,f,f,g,f,n,f,w,b,n,t,e,s,s,w,w,p,w,o,e,n,a,g,e
58,b,s,w,t,a,f,c,b,w,e,c,s,s,w,w,p,w,o,p,n,n,g,e
59,x,s,y,t,l,f,c,b,k,e,c,s,s,w,w,p,w,o,p,k,n,g,e
60,x,y,n,t,a,f,c,b,p,e,r,s,y,w,w,p,w,o,p,k,y,p,e
61,s,f,g,f,n,f,c,n,k,e,e,s,s,w,w,p,w,o,p,n,v,u,e
62,b,y,y,t,a,f,c,b,k,e,c,s,s,w,w,p,w,o,p,n,s,m,e
63,b,s,y,t,l,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,s,m,e
64,b,y,y,t,l,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,n,m,e
65,b,y,w,t,l,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,s,g,e
66,f,s,n,f,n,f,w,b,k,t,e,s,s,w,w,p,w,o,e,k,a,g,e
67,x,s,w,t,l,f,c,b,n,e,c,s,s,w,w,p,w,o,p,k,s,g,e
68,f,y,y,t,a,f,c,b,w,e,r,s,y,w,w,p,w,o,p,n,s,g,e
69,x,y,y,t,a,f,c,b,w,e,c,s,s,w,w,p,w,o,p,k,n,g,e
70,x,f,g,f,n,f,c,n,p,e,e,s,s,w,w,p,w,o,p,n,v,u,e
71,f,f,y,t,l,f,w,n,p,t,b,s,s,w,w,p,w,o,p,n,v,d,e
72,b,y,w,t,l,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,s,m,e
73,f,f,y,t,l,f,w,n,w,t,b,s,s,w,w,p,w,o,p,n,v,d,e
74,x,y,n,t,a,f,c,b,p,e,r,s,y,w,w,p,w,o,p,k,s,p,e
75,b,s,y,t,a,f,c,b,k,e,c,s,s,w,w,p,w,o,p,k,s,g,e
76,f,s,y,t,l,f,w,n,p,t,b,s,s,w,w,p,w,o,p,n,v,d,e
77,x,s,w,t,l,f,w,n,n,t,b,s,s,w,w,p,w,o,p,u,v,d,e
78,f,y,n,t,l,f,c,b,p,e,r,s,y,w,w,p,w,o,p,n,y,p,e
79,x,y,n,t,p,f,c,n,w,e,e,s,s,w,w,p,w,o,p,n,v,u,p
80,f,y,n,t,a,f,c,b,n,e,r,s,y,w,w,p,w,o,p,n,y,g,e
81,x,s,n,f,n,f,w,b,k,t,e,f,s,w,w,p,w,o,e,n,s,g,e
82,x,y,w,t,p,f,c,n,w,e,e,s,s,w,w,p,w,o,p,k,s,g,p
83,f,f,g,f,n,f,c,n,n,e,e,s,s,w,w,p,w,o,p,n,y,u,e
84,x,f,g,f,n,f,w,b,n,t,e,s,s,w,w,p,w,o,e,n,s,g,e
85,x,y,y,t,l,f,c,b,w,e,r,s,y,w,w,p,w,o,p,k,s,g,e
86,x,s,n,f,n,f,w,b,k,t,e,s,s,w,w,p,w,o,e,k,s,g,e
87,b,s,w,t,a,f,c,b,w,e,c,s,s,w,w,p,w,o,p,k,s,g,e
88,x,s,w,t,l,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,s,g,e
89,f,y,n,t,l,f,c,b,w,e,r,s,y,w,w,p,w,o,p,k,y,g,e
90,s,f,n,f,n,f,c,n,n,e,e,s,s,w,w,p,w,o,p,n,v,u,e
91,x,f,n,f,n,f,c,n,n,e,e,s,s,w,w,p,w,o,p,n,y,u,e
92,b,s,w,t,l,f,c,b,k,e,c,s,s,w,w,p,w,o,p,k,s,g,e
93,x,y,y,t,a,f,c,b,g,e,c,s,s,w,w,p,w,o,p,k,s,g,e
94,x,y,y,t,l,f,c,b,g,e,c,s,s,w,w,p,w,o,p,k,n,m,e
95,x,s,n,f,n,f,w,b,n,t,e,s,s,w,w,p,w,o,e,n,a,g,e
96,x,s,w,t,a,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,s,g,e
97,f,y,n,t,l,f,c,b,p,e,r,s,y,w,w,p,w,o,p,n,s,g,e
98,x,s,y,t,a,f,c,b,n,e,c,s,s,w,w,p,w,o,p,k,n,g,e
99,b,s,w,t,a,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,s,g,e
100,x,y,w,t,a,f,c,b,g,e,c,s,s,w,w,p,w,o,p,k,s,g,e
101,x,f,n,f,n,f,w,b,p,t,e,f,s,w,w,p,w,o,e,k,s,g,e
102,b,s,y,t,l,f,c,b,n,e,c,s,s,w,w,p,w,o,p,k,n,g,e
103,f,y,y,t,l,f,c,b,w,e,r,s,y,w,w,p,w,o,p,n,s,g,e
104,x,y,y,t,a,f,c,b,n,e,r,s,y,w,w,p,w,o,p,k,y,p,e
105,b,y,w,t,l,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,n,g,e
106,x,y,y,t,a,f,c,b,n,e,c,s,s,w,w,p,w,o,p,k,n,m,e
107,x,y,y,t,a,f,c,b,w,e,r,s,y,w,w,p,w,o,p,n,y,g,e
108,b,y,w,t,l,f,c,b,n,e,c,s,s,w,w,p,w,o,p,k,s,m,e
109,b,y,w,t,a,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,s,m,e
110,x,s,y,t,a,f,c,b,k,e,c,s,s,w,w,p,w,o,p,k,n,m,e
111,x,s,y,t,l,f,c,b,w,e,c,s,s,w,w,p,w,o,p,k,n,g,e
112,s,f,g,f,n,f,c,n,g,e,e,s,s,w,w,p,w,o,p,k,y,u,e
113,x,f,w,t,a,f,w,n,w,t,b,s,s,w,w,p,w,o,p,u,v,d,e
114,x,s,y,t,a,f,c,b,n,e,c,s,s,w,w,p,w,o,p,k,n,m,e
115,x,y,w,t,p,f,c,n,n,e,e,s,s,w,w,p,w,o,p,n,v,u,p
116,x,y,y,t,l,f,c,b,p,e,r,s,y,w,w,p,w,o,p,n,s,g,e
117,s,f,g,f,n,f,c,n,p,e,e,s,s,w,w,p,w,o,p,n,y,u,e
118,x,y,y,t,l,f,c,b,w,e,r,s,y,w,w,p,w,o,p,k,y,g,e
119,x,s,y,t,l,f,w,n,p,t,b,s,s,w,w,p,w,o,p,u,v,d,e
120,s,f,n,f,n,f,c,n,k,e,e,s,s,w,w,p,w,o,p,n,y,u,e
121,x,s,w,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,k,v,g,p
122,x,y,w,t,a,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,n,m,e
123,f,y,n,t,p,f,c,n,p,e,e,s,s,w,w,p,w,o,p,k,v,g,p
124,f,s,g,f,n,f,w,b,k,t,e,s,s,w,w,p,w,o,e,n,a,g,e
125,x,s,y,t,l,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,s,m,e
126,x,s,w,f,n,f,w,b,n,t,e,s,f,w,w,p,w,o,e,k,s,g,e
127,b,s,y,t,a,f,c,b,w,e,c,s,s,w,w,p,w,o,p,n,n,g,e
128,f,f,g,f,n,f,w,b,h,t,e,s,s,w,w,p,w,o,e,n,a,g,e
129,x,s,w,t,l,f,c,b,n,e,c,s,s,w,w,p,w,o,p,k,n,g,e
130,b,s,w,t,l,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,s,m,e
131,b,s,w,t,l,f,c,b,w,e,c,s,s,w,w,p,w,o,p,n,s,g,e
132,b,y,w,t,l,f,c,b,w,e,c,s,s,w,w,p,w,o,p,n,s,m,e
133,f,s,w,t,l,f,w,n,w,t,b,s,s,w,w,p,w,o,p,u,v,d,e
134,x,y,y,t,l,f,c,b,g,e,c,s,s,w,w,p,w,o,p,k,s,m,e
135,f,s,w,t,a,f,w,n,p,t,b,s,s,w,w,p,w,o,p,n,v,d,e
136,x,y,w,t,p,f,c,n,w,e,e,s,s,w,w,p,w,o,p,n,v,u,p
137,f,f,w,t,l,f,w,n,w,t,b,s,s,w,w,p,w,o,p,n,v,d,e
138,x,y,y,t,a,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,s,g,e
139,x,s,n,t,p,f,c,n,p,e,e,s,s,w,w,p,w,o,p,n,v,g,p
140,b,s,y,t,l,f,c,b,w,e,c,s,s,w,w,p,w,o,p,n,n,g,e
141,x,y,n,t,a,f,c,b,w,e,r,s,y,w,w,p,w,o,p,k,y,p,e
142,b,y,y,t,l,f,c,b,g,e,c,s,s,w,w,p,w,o,p,k,n,m,e
143,s,f,n,f,n,f,c,n,k,e,e,s,s,w,w,p,w,o,p,n,v,u,e
144,f,y,n,t,a,f,c,b,w,e,r,s,y,w,w,p,w,o,p,k,y,p,e
145,x,y,y,t,a,f,c,b,k,e,c,s,s,w,w,p,w,o,p,k,n,g,e
146,x,f,g,f,n,f,w,b,k,t,e,f,f,w,w,p,w,o,e,k,s,g,e
147,f,f,w,f,n,f,w,b,k,t,e,s,f,w,w,p,w,o,e,n,a,g,e
148,x,y,y,t,l,f,c,b,w,e,c,s,s,w,w,p,w,o,p,n,n,m,e
149,b,s,y,t,l,f,c,b,k,e,c,s,s,w,w,p,w,o,p,k,n,g,e
150,b,y,w,t,a,f,c,b,g,e,c,s,s,w,w,p,w,o,p,k,n,m,e
151,x,y,w,t,a,f,c,b,w,e,c,s,s,w,w,p,w,o,p,n,s,g,e
152,x,s,n,f,n,f,w,b,p,t,e,f,s,w,w,p,w,o,e,n,a,g,e
153,x,y,w,t,l,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,s,g,e
154,s,f,n,f,n,f,c,n,k,e,e,s,s,w,w,p,w,o,p,k,v,u,e
155,x,s,w,t,a,f,w,n,w,t,b,s,s,w,w,p,w,o,p,u,v,d,e
156,x,y,n,t,l,f,c,b,w,e,r,s,y,w,w,p,w,o,p,k,s,g,e
157,b,y,y,t,a,f,c,b,k,e,c,s,s,w,w,p,w,o,p,n,n,g,e
158,x,y,w,t,a,f,c,b,k,e,c,s,s,w,w,p,w,o,p,n,n,g,e
159,b,y,w,t,a,f,c,b,n,e,c,s,s,w,w,p,w,o,p,k,s,m,e
160,b,s,y,t,a,f,c,b,g,e,c,s,s,w,w,p,w,o,p,k,s,g,e
161,b,s,y,t,l,f,c,b,g,e,c,s,s,w,w,p,w,o,p,k,s,m,e
162,b,y,y,t,a,f,c,b,n,e,c,s,s,w,w,p,w,o,p,k,n,g,e
163,x,f,n,f,n,f,c,n,k,e,e,s,s,w,w,p,w,o,p,n,y,u,e
164,f,y,n,t,l,f,c,b,n,e,r,s,y,w,w,p,w,o,p,n,y,g,e
165,x,y,w,t,a,f,c,b,k,e,c,s,s,w,w,p,w,o,p,n,s,g,e
166,f,y,y,t,l,f,c,b,w,e,r,s,y,w,w,p,w,o,p,n,y,p,e
167,b,s,w,t,a,f,c,b,w,e,c,s,s,w,w,p,w,o,p,n,s,g,e
168,b,s,w,t,a,f,c,b,w,e,c,s,s,w,w,p,w,o,p,k,s,m,e
169,x,y,n,t,l,f,c,b,w,e,r,s,y,w,w,p,w,o,p,k,y,g,e
170,b,s,w,t,a,f,c,b,k,e,c,s,s,w,w,p,w,o,p,k,s,g,e
171,x,f,g,f,n,f,c,n,g,e,e,s,s,w,w,p,w,o,p,n,y,u,e
172,b,s,y,t,l,f,c,b,k,e,c,s,s,w,w,p,w,o,p,n,s,g,e
173,x,f,y,t,l,f,w,n,n,t,b,s,s,w,w,p,w,o,p,u,v,d,e
174,b,y,y,t,a,f,c,b,w,e,c,s,s,w,w,p,w,o,p,k,s,g,e
175,f,y,y,t,l,f,c,b,p,e,r,s,y,w,w,p,w,o,p,n,s,g,e
176,b,y,w,t,l,f,c,b,w,e,c,s,s,w,w,p,w,o,p,k,n,m,e
177,b,y,w,t,a,f,c,b,k,e,c,s,s,w,w,p,w,o,p,k,n,m,e
178,b,y,y,t,a,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,s,g,e
179,x,y,y,t,l,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,n,m,e
180,b,s,y,t,l,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,n,g,e
181,x,y,w,t,p,f,c,n,p,e,e,s,s,w,w,p,w,o,p,n,v,u,p
182,s,f,n,f,n,f,c,n,g,e,e,s,s,w,w,p,w,o,p,n,y,u,e
183,f,f,n,f,n,f,c,n,g,e,e,s,s,w,w,p,w,o,p,k,v,u,e
184,x,s,y,t,a,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,s,m,e
185,f,y,n,t,a,f,c,b,p,e,r,s,y,w,w,p,w,o,p,k,s,p,e
186,x,y,w,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,k,s,g,p
187,b,s,w,t,l,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,s,m,e
188,f,f,g,f,n,f,c,n,p,e,e,s,s,w,w,p,w,o,p,k,v,u,e
189,b,y,y,t,l,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,n,g,e
190,x,y,n,t,a,f,c,b,w,e,r,s,y,w,w,p,w,o,p,n,y,p,e
191,x,f,w,f,n,f,w,b,p,t,e,s,f,w,w,p,w,o,e,k,s,g,e
192,x,s,w,t,l,f,w,n,w,t,b,s,s,w,w,p,w,o,p,n,v,d,e
193,b,s,w,t,l,f,c,b,w,e,c,s,s,w,w,p,w,o,p,n,s,m,e
194,f,s,y,t,a,f,w,n,w,t,b,s,s,w,w,p,w,o,p,n,v,d,e
195,x,s,y,t,a,f,c,b,k,e,c,s,s,w,w,p,w,o,p,n,n,m,e
196,f,f,g,f,n,f,c,n,g,e,e,s,s,w,w,p,w,o,p,n,y,u,e
197,b,s,y,t,a,f,c,b,n,e,c,s,s,w,w,p,w,o,p,k,s,g,e
198,x,s,w,t,l,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,n,m,e
199,x,y,w,t,l,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,s,m,e
200,f,s,w,t,a,f,w,n,n,t,b,s,s,w,w,p,w,o,p,n,v,d,e
201,x,y,y,t,l,f,c,b,w,e,c,s,s,w,w,p,w,o,p,n,s,g,e
202,b,s,w,t,l,f,c,b,w,e,c,s,s,w,w,p,w,o,p,k,s,g,e
203,x,s,w,t,a,f,c,b,g,e,c,s,s,w,w,p,w,o,p,k,n,g,e
204,x,f,w,f,n,f,w,b,h,t,e,f,s,w,w,p,w,o,e,k,s,g,e
205,f,y,n,t,l,f,c,b,n,e,r,s,y,w,w,p,w,o,p,k,y,p,e
206,x,s,w,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,n,v,u,p
207,b,s,w,t,a,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,n,g,e
208,b,s,w,t,a,f,c,b,k,e,c,s,s,w,w,p,w,o,p,k,s,m,e
209,b,y,w,t,l,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,n,g,e
210,b,y,w,t,a,f,c,b,w,e,c,s,s,w,w,p,w,o,p,k,n,g,e
211,x,s,y,t,a,f,c,b,w,e,c,s,s,w,w,p,w,o,p,k,s,g,e
212,b,s,w,t,l,f,c,b,w,e,c,s,s,w,w,p,w,o,p,k,n,m,e
213,x,f,y,t,a,f,w,n,n,t,b,s,s,w,w,p,w,o,p,n,v,d,e
214,x,f,g,f,n,f,c,n,n,e,e,s,s,w,w,p,w,o,p,n,y,u,e
215,f,y,y,t,a,f,c,b,n,e,r,s,y,w,w,p,w,o,p,n,s,g,e
216,b,s,w,t,l,f,c,b,n,e,c,s,s,w,w,p,w,o,p,k,n,m,e
217,x,s,y,t,a,f,c,b,g,e,c,s,s,w,w,p,w,o,p,k,s,g,e
218,x,y,y,t,a,f,c,b,k,e,c,s,s,w,w,p,w,o,p,k,s,g,e
219,x,y,w,t,l,f,c,b,w,e,c,s,s,w,w,p,w,o,p,n,s,g,e
220,s,f,g,f,n,f,c,n,p,e,e,s,s,w,w,p,w,o,p,n,v,u,e
221,x,s,w,t,a,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,n,m,e
222,x,s,w,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,k,s,g,p
223,x,y,y,t,a,f,c,b,n,e,r,s,y,w,w,p,w,o,p,n,s,g,e
224,f,f,w,t,a,f,w,n,p,t,b,s,s,w,w,p,w,o,p,n,v,d,e
225,x,y,w,t,l,f,c,b,g,e,c,s,s,w,w,p,w,o,p,k,n,m,e
226,b,y,w,t,l,f,c,b,n,e,c,s,s,w,w,p,w,o,p,k,s,g,e
227,x,s,w,t,a,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,n,g,e
228,x,s,y,t,a,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,s,g,e
229,x,y,n,t,p,f,c,n,p,e,e,s,s,w,w,p,w,o,p,k,v,u,p
230,b,s,y,t,a,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,n,g,e
231,x,f,g,f,n,f,c,n,n,e,e,s,s,w,w,p,w,o,p,k,y,u,e
232,x,y,w,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,k,s,u,p
233,x,y,y,t,l,f,c,b,n,e,r,s,y,w,w,p,w,o,p,n,y,p,e
234,f,f,n,f,n,f,c,n,k,e,e,s,s,w,w,p,w,o,p,k,v,u,e
235,b,s,w,t,l,f,c,b,k,e,c,s,s,w,w,p,w,o,p,n,n,g,e
236,x,f,w,t,l,f,w,n,w,t,b,s,s,w,w,p,w,o,p,n,v,d,e
237,x,y,w,t,l,f,c,b,w,e,c,s,s,w,w,p,w,o,p,k,s,g,e
238,b,y,y,t,l,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,s,g,e
239,x,y,y,t,l,f,c,b,n,e,r,s,y,w,w,p,w,o,p,k,s,g,e
240,f,y,y,t,a,f,c,b,p,e,r,s,y,w,w,p,w,o,p,k,s,p,e
241,f,y,y,t,a,f,c,b,w,e,r,s,y,w,w,p,w,o,p,k,y,p,e
242,x,s,w,t,l,f,c,b,w,e,c,s,s,w,w,p,w,o,p,k,s,g,e
243,x,s,w,t,a,f,c,b,w,e,c,s,s,w,w,p,w,o,p,n,n,m,e
244,x,s,w,t,p,f,c,n,n,e,e,s,s,w,w,p,w,o,p,k,v,u,p
245,f,f,w,t,a,f,w,n,p,t,b,s,s,w,w,p,w,o,p,u,v,d,e
246,x,s,w,t,l,f,c,b,w,e,c,s,s,w,w,p,w,o,p,n,s,g,e
247,x,s,w,t,l,f,w,n,p,t,b,s,s,w,w,p,w,o,p,u,v,d,e
248,x,y,w,t,a,f,c,b,n,e,c,s,s,w,w,p,w,o,p,k,s,m,e
249,f,y,y,t,l,f,c,b,w,e,r,s,y,w,w,p,w,o,p,k,y,p,e
250,x,s,n,f,n,f,w,b,p,t,e,f,s,w,w,p,w,o,e,k,s,g,e
251,f,y,y,t,a,f,c,b,w,e,r,s,y,w,w,p,w,o,p,n,y,g,e
252,x,s,n,t,p,f,c,n,p,e,e,s,s,w,w,p,w,o,p,n,s,g,p
253,s,f,n,f,n,f,c,n,g,e,e,s,s,w,w,p,w,o,p,n,v,u,e
254,b,y,y,t,l,f,c,b,w,e,c,s,s,w,w,p,w,o,p,n,s,m,e
255,b,s,w,t,l,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,s,g,e
256,b,y,w,t,l,f,c,b,k,e,c,s,s,w,w,p,w,o,p,n,n,m,e
257,f,f,n,f,n,f,c,n,k,e,e,s,s,w,w,p,w,o,p,n,v,u,e
258,x,s,w,t,a,f,c,b,w,e,c,s,s,w,w,p,w,o,p,k,n,m,e
259,b,y,w,t,l,f,c,b,g,e,c,s,s,w,w,p,w,o,p,k,n,g,e
260,b,y,w,t,a,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,n,m,e
261,f,y,n,t,l,f,c,b,w,e,r,s,y,w,w,p,w,o,p,n,s,g,e
262,x,y,w,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,k,v,g,p
263,x,s,w,t,a,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,n,g,e
264,x,y,w,t,a,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,s,m,e
265,f,f,w,t,l,f,w,n,w,t,b,s,s,w,w,p,w,o,p,u,v,d,e
266,f,f,g,f,n,f,c,n,g,e,e,s,s,w,w,p,w,o,p,k,v,u,e
267,f,s,g,f,n,f,w,b,p,t,e,s,s,w,w,p,w,o,e,k,a,g,e
268,x,y,y,t,a,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,s,m,e
269,b,s,w,t,a,f,c,b,k,e,c,s,s,w,w,p,w,o,p,n,s,m,e
270,f,y,n,t,p,f,c,n,w,e,e,s,s,w,w,p,w,o,p,k,s,u,p
271,x,s,w,t,l,f,c,b,n,e,c,s,s,w,w,p,w,o,p,k,n,m,e
272,f,s,n,t,p,f,c,n,w,e,e,s,s,w,w,p,w,o,p,k,v,u,p
273,x,y,w,t,l,f,c,b,k,e,c,s,s,w,w,p,w,o,p,n,s,g,e
274,x,y,y,t,a,f,c,b,k,e,c,s,s,w,w,p,w,o,p,n,n,m,e
275,f,y,y,t,a,f,c,b,n,e,r,s,y,w,w,p,w,o,p,n,s,p,e
276,x,y,n,t,a,f,c,b,w,e,r,s,y,w,w,p,w,o,p,n,s,p,e
277,f,y,n,t,a,f,c,b,w,e,r,s,y,w,w,p,w,o,p,n,y,g,e
278,x,y,w,t,a,f,c,b,w,e,c,s,s,w,w,p,w,o,p,n,n,m,e
279,f,f,n,f,n,f,w,b,h,t,e,s,s,w,w,p,w,o,e,k,s,g,e
280,x,s,y,t,l,f,c,b,k,e,c,s,s,w,w,p,w,o,p,n,n,m,e
281,x,y,w,t,p,f,c,n,w,e,e,s,s,w,w,p,w,o,p,n,s,g,p
282,b,y,y,t,a,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,n,m,e
283,s,f,n,f,n,f,c,n,p,e,e,s,s,w,w,p,w,o,p,n,v,u,e
284,x,s,y,t,l,f,c,b,k,e,c,s,s,w,w,p,w,o,p,k,s,m,e
285,b,y,w,t,l,f,c,b,n,e,c,s,s,w,w,p,w,o,p,k,n,m,e
